Secret,Jatim,Sumber,Balekambang,Museum,The,Aston,Golden
"It is really so good place to enjoy with your family and all facility is outstanding to use. Also entrance price is so cheap ( if during weekend, you can get discount ) and for kids, it is so good. When you have a chance, do not miss to visit secret zoo batu.",,,,"the vehicles are sooooo AH-MA-ZING! love it soo much! the also divided this place into many section with different theme and different cars/motors/vehicles to match the theme.   but keep in mind, if you have camera other than your phone, the will charge you extra",,"Memorable stay in this hotel. Hope to stay here again, and again. The staff are all very nice. Fast response while asking something to be helped. And one of the important thing is the view around the hotel is very beautiful. Great!!!!","I had the most amazing time and felt very welcome at the Golden Tulip. If there was an option to give 6 stars I would! I was there for only 2 nights, but then did NOT want to leave. Dicky, Ali and their team did an amazing job making me feel at home. The live music at night is awesome and the ambiance of the whole place... I cannot put into words! The food at breakfast, lunch and dinner was all amazing and the pool has a water slide! They also have billiards, ping pong and every amenity I can think of! Thank you to all of the staff at the Golden Tulip: I will return and recommend to all of my friends that visit this area.  Cheers,  Dr. Alyse Harvison"
This zoo have many collection of animal. It great for kids. Amazing atmosphere. Has many games for kids and it worth every penny. It takes approximately 1-3 hours just to take a great look of its animals. Great stuff!,,,,This happens to be the only place in the world which has a collection of all modes of transport on display so that an avid collector can spend the world day to admire the various vehicle collections. Amazing!!,,"Very nice view in the morning from 6th floor. I can see Mt. Arjuna from my room. Thou a lil bit foggy. Bfast and room delivery food are very good. And it's very close to Museum Angkut and only around 5km from the newest Jatimpark 3. The room is clean, staff is very nice. But maybe need to fix a lil bit abt wifi bcs it's not so good wifi signal in my room sometimes. I'd like to stay here for next Batu vacation.",Stay here for one night and we got the best experience ever. Arrive about 3 pm and the check in process was very fast and great.   Mr Aliwayana very helpfull and kind with us.   Large room and very comfortable. Pool also best for family vacation because so many playground for kids and hot water pool.  Not forget the breakfast also have so many variations.   Definitely will be back to stay here again. Best hotel and service in Batu.
"Has lots of animal collection from every kind, including rare ones. Great design as well, it was a big park but I can comfortably walk around for hours or rent e-bike if tired. You can make a photo with some animals for IDR 5,000 or less than USD 1. Kids and family friendly,?",,,,"The most atractive transportation museum in Indonesia. The collection range from by foot transportation till the most modern one. All collections are in good condition. IGable is another plus point. The entrance fee is IDR 120,000 at the weekend.  ",,"the rooms were clean, the staff was friendly, could even check in at 10am. The breakfast was the best and most extensive I have ever had in a hotel. I was approached by the pr-lady who spoke great English. Aston Inn Batu is recommended for everyone. just keep it up !!!!!","Went to batu for holiday. Stayed here for 2 nights. As I heard that this is a new hotel I think they need improvement for the cleanliness for all area.  The lobby is so nice.. They have open air lobby lounge or bar, a good place to sit around with your family or friends.  The coffee also taste good for me.  Cool pool and great view.  The breakfast also great.. With many choices for indonesian and international buffet. Well for the restaurant need to improve their service during breakfast especially the omelette station.. Took so long, I assume because on that day was so crowded with groups and fit.  The location also near to jatim park 2.  Keep it up and thanks!! "
"We visit batu secret zoo as a part of Jatim Park 2. The animal collection was so varied and interesting. If we tired of walking, we can rent an electric bike and stroll through the zoo. They also have an amusement park inside. Dont forget to join the safari. We can feed animals?",,,,A great place to learn a lot about transportation :) they provide canteen/restaurants/shops with affordable price.,,"The property is new, so it's pretty much still in a very good condition and clean, keep it up. Booked 3 rooms for 2 nights stay in Batu. The room is clean, comfy bed, spacious bathroom, balcony with nice mountain view. Friendly staff and very helpful. The only thing that made us a little bit disappointed was no connecting rooms for the Superior rooms that we booked which we're not aware of. Wide spread selection for breakfast. Overall it was a great experience.","Hotels is very good,having a good location so in main lobby we will have a good view of the city below and the  mountain scenery. Considering as boutique or luxury hotel based on its price then its having a unique hotel desain, again the open concept of main lobby with fresh cold mountain air, make guest enjoy to spend time there. Pool also great, having kiddie pool with water playground, also deep/adult pool with big water sliding. Then we can soaking in warm water pool, shallow enough for the kid to play too. Room is spacious with its good facility. WIFI is superb even we got the room in down floor and corner (usually the far the room for the main area then WIFI will degrade, but I must admit their WIFI is good).  But we wan to to share our experience for hotel breakfast?"
"This facility rates with our experience of Zoos in Ft. Worth, Dallas, and San Antonio, Texas. It compares to Zoos that we have visited in other parts of the world with amazing animal varieties, well designed exhibit habitats, and extras like on-sight live performances from?",,,,"the entrance fee is about Rp.70,000 and the car park fee is Rp. 8,000. The museum situated opposite the Pasar Apung (food stalls,sourvenirs,etc). At first I was not very excited to enter the museum. But as I pass the many sectionsof the museum, I began to walk slowly and enjoy?",,"Stayed here for a night, just to enjoy the view and the gloomy weather. The room is big enough to add an extra bed (since I travelled with 3 persons). Each room has a balcony to enjoy the view (it could be better if you could get a higher room, but since i got the fifth floor, i still can enjoy the view). The bathroom is clean. They have a lot to offer for breakfast, they have a salad, bread, cereals, main course like rice and other side dishes, pudding, fresh fruit. The staff are friendly and the one in front office, they always greet you whenever they see you coming in or coming out the lobby (typical javanese hospitality i guess). Overall, i enjoy stayed here, definitely will stay here again if I visite Batu, Malang.","we have never stayed here yet.. but we like the Restaurant, nice food for lunch or maybe dinner.. buffet lunch would be very nice instead of ala carte.. sop buntut is recomended and volcano lava cake is very good too, the burger need improvement bit cold.. Restaurant Staffs are very friendly our credit to Mr. Faizal.. over all verynice hotel.. nexttime we will stay here."
Good concept..its the place for refresh and education as well..it took 3 hours just to sight seeing all of area completely..museum satwa are fabulous,,,,This creatively designed  place makes a day at the museum extra fun to be in.  Displaying a rich variety of vehicles from primitive to ultra modern sport cars.  Superb!,,"Nice and beutyful place to stay.Close to Museum Angkutan, Jatim Park 1,2,3. Easy to find Culinary.Easy to find the hotel location.staff I meet is polite, nice helpfull, have short chat with one of PR person,(lady).","We arrive at this hotel around 4pm. We booked 4 rooms by online. When we arrived i want to do an upgrade, I simply Wanted a better view from higher floor because they gave us low floor rooms. I didn?t know deluxe room  available on lower floor only , So i asked whether i can upgrade. But front desk agent ?Adelia? can?t allow upgrade due to indirect booking through hotel but she asked me to change through online booking again.  Im questioning?Why can?t i do upgrade from my original room with front office agent on the spot since I?m willing to pay additional cost ,yet she insisted that i need to change online? Seriously??? The room was quite spacious, comfortable medium hard mattress (i like this) i prefer medium to hard mattress instead of soft fluffy mattress.  While I?m?"
"This zoo suits for child, adult, even for elderly. My child always remember the experience of feeding animals. They also hire a so-called electric bike to explore zoo area.",,,,"location : in strategic location facility : food court, and a lot of scene theme review : i can come again again must come and take a photo a lot, a lot of theme",,"We was excited with the great view from our room & the resto. This is one of the best view hotel with very reasonable price. Infact, our kids were seemed to be more excited to went back to the hotel rather then continuing the complete intenerary. Great Job ",#NAME?
I considered this zoo as the best ever i visited in my life. Very nice zoo with a lot of variety animals from worldwide.  Nice place for children to enjoy and learn about animals. ,,,,Lots to look at take pics streets the place is one big movie set even has a fake uk and use inside bring your cam and enjoy 150.000rp per person on the weekends ,,"I went there with my family (my wife and my son). The staff is really helpful (They help me when my car had a problem), place near to JATIM PARK 1, 2, 3 and Museum Angkut, only need less than 10 minutes to reach there by a car. ","I was staying at this hotel resort back at June with my family for a short 3 days vacation. Upon arrival, we received a warm welcoming from the staffs there. I think all of the staffs we met there were great and ready to assist us. Check in process was quite fast & then they walked us to our room, which we appreciated very much since it was a bit confusing to find the way to guests room. Our luggage arrived shortly afterward. The rooms & the bathrooms were clean, and during our stay the housekeeping staffs did a very good job. We noticed that we didn't get our hand towels, so we called & asked the housekeeping to bring ones. They delivered the towels after some times, and the next day when we came back from our excursion we had to call again asking for the hand towels. We also?"
"An efficient & valuable visit.  You can find hundreds of animals collection, attractions, safari rides, and much more. If you come along with kiddos, came earlier.. they have some feeding attraction arround 11 A.M.  The estimation visit time is 4hours in total, but in my opinion?",,,,"Not only car, there are plane, motorcycle, rocket, cart, ship which existed in old time. Nice place for introduce that kind of thing to children ",,"friendly staff, good view with the mountain view it's very good when the morning, good food especially for the noodle i like it,near from the tourist rides when i was go to jatim park 2 it's abaut 5inutes with own car, very recommended hotel.","I stayed in Golden Tulip in early August for a few nights with my family, and the hotel definitely surpassed my expectations. I was amazed by the interior design of the hotel as it was very modern yet green at the same time. The receptionists were very attentive and friendly. The room we checked into was spacious and had really big beds and comfortable pillows. To top that off, while some hotels lack in amenities, Golden Tulip does not fall short of providing adaptors, microwaves and toiletries right in the comfort of your room.  The hotel is also very multifunctional. They provide meeting rooms for businesses to conduct activities in, grand ballrooms for weddings, restaurants, a wedding chapel, swimming pool and of course a kid's club. Asides from bean bag couches and video?"
"Many kinds of species, clean and kids friendly zone.   Very worth of the price.  Food and beverages was all over the place make it very easy to walk around and quick rest.  Recommend !!!",,,,Highly recommended museum that displays so many antique in a fun way! So many old cars (some even before my dad was born) and so many antique Indonesian stuffs. Afternoon weel spent!,,"nice hotel in batu city with views of Panderman and Arjuna mountains. on the top floor there is a dining place with views of the malang city at night, really a beautiful view. hotel facilities are also good accordingly. cool !!!!","room 8109. (Jun 25 - Jun 28, 2018)  Check-in was excellent, very quick and smooth. Request for high-floor room is honored.  Hotel grounds and facilities are really nice. Bright and modern design. Huge open air area. Swimming pools is very nice even though it's not too big. Gym is well-equipped. Kids club is small with 3 bean bags and video game console. Room is big and clean. Rainshower is nice. Bed is very comfortable.  Experienced more than 30 mins waiting time for food in restaurant on Jun 25 evening. Kitchen missed our orders, kids are starving waiting for dinner. Excellent service recovery from mr. Faisal that apologize and offers free dessert.  Breakfast on Jun 26 morning is ok, good selection of food although the taste are all mediocore. Beef rendang was overcooked and?"
"All the animals are healthy, convenient sights of all. Animals not just from indonesia. They provide wildlife museum also although I don't like because all animals preserved.",,,,"We really enjoy visit this museum.   They have a lot of things to show., bicycle from time to time, many kind of car (old car.. And they present by the country which produced) they also has traditional transportation like becak,  delman etc.  Also they have helicopter,  plane,?",,"The room is clean and comfortable, the view from the room is also very nice. Since we came in holiday season so Batu overall and the hotel itself very pack.. traffic everywhere.  but I found out that this place is very near to museum angkut and Agro.. and it has alternative ways to the downtown. The hotel has a medium size swimming pool that good enough for the guest, although the fitness center is still on going works, so its closed. The breakfast was average but the selection is good numbers.","I was impressed with the hotel. It is a new hotel. I stayed on the 4th of August which is 1 day before its grand opening. The hotel foyer is huge and connected with the lobby, in which every where is openly designed, to make use of the fresh cool air of the area of Batu in Malang. The hotel room was nicely decorated, simple and luxurious and it was quite spacious. The bed were very comfortable. As Batu area located quite high, so the room actually do not require an AC, but they have it anyway. The only flaw was the design of the elevator to the higher floor, in which we have to walk to the end of the building for the elevator. Other than that, everything is excellent. The staffs were very polite and helpful. The facilities for the kids playing ground and pools will keep the kids?"
Batu secret zoo is a part of Jatim Park 1. I bought a bundled ticket for Eco Green Park and Batu Secret Zoo. The place is beautiful and huge. spent one whole day (9.00 to 17.00) to visit those 2 places. If you love animals you will love this place. You can also take pictures?,,,,"Almost every place in this place is a photo spot. But if you want to use your own mirrorless or dslr camera, you will be charged about 30k-35k rupiah. The show was good too. A great place for family holiday especially those who love about old car and vintage car.",,"We've got a very good experince during staying here last month. An impressive view from the room balcony and restaurant. Luckly it wasn't raining at that time! The swimming pool is really clean though some part of it is still under construction. No warm water ven for kids' pool but it's not so cool either. The served variety breakfast menu but too bad they have very limited veggies menu! The taste of BBQ should be improved and the portion would be better if it's as nice as ""brochure look"", you know what I mean? Overall, we'll be coming back someday!","This is the 2nd time for our family spend the night in this hotel. The view, the atmosphere, the staff are very pleasant. The hotel are very family friendly with their play land and pool for kids. The location is near with many attraction in batu malang. Jatim park 1&2. Batu secret zoo, batu night spectacular and many more."
"They keep playing the same song over and over and over and over and over and over and over and over and over and over and over and over and over and over and over all day long. The song itself is unimpressive. Combined with the repeats, please just shoot me!  Other than that,?",,,,"Very good. Highly recommended over jatim 3 nearby. The cars are intetsdting, dispkays good and great for kids",,"bringing Aston big name as archipelago international hotel network should be never failed for me. it just open a couple month before I stayed here for 2D1N. so everything is very clean as expected. lobby area is loveable with a lot of comfy sofa and couch. what i like the most is pool area, I swimming privately as nobody else in the pool. maybe Batu's temp is too cold for any other else (except for me for sure), hot water pool would be very good idea. too bad that at the time i visit, change room/shower room to use before/after swimming is not finished yet and still under construction. im sure it will be a nice hotel after all.","Been here for 2 days for our kids school break. And it's not enough! The view is breathtaking, the facilities are amazing especially for kids. The pool is wow, so large and it also had waterparks for younger kids. The room is spacious and super cozy. My only concern is that the water in the bathroom doesn't drain well, but they have separate shower and bathtub, which I prefer something like that rather than shower above my bathtub...  The breakfast has so many various choice, from traditional, western, until arabian style. But it's kind of disturbing a little, that the restaurant had flies everywhere. Maybe the hotel can fix this problem.  And the check in and check out, super fast, I love it!  That's it, I have a wonderful experience in this hotel. Will definitely back again!"
A really good attraction place to visit. Might be one of the best animal collection in the world with affordable price ticket.  They also have swimming pool & amusement park inside.,,,,"This is the first museum that I found really attractive. Well to be fair, it's actually an amusement park for cars, and other means of transportation. But it's mostly cars.  Museum Angkut is divided into zones, such as movie zone, British zone, Europe zone, etc. In which each?",,"New hotel but the staff need more training about service excellent, like : 1. Say hello to the guest when passing 2. The security not help me to open the main door. Just standing & talking with his friend 3. Not say thank you when i returned back the key for chekout ","Beautiful hotel to relax with family. Nice and clean hotel. The bed is comfortable, breakfast was nice and provides many cuisines. Have to pay 50% normal price breakfast for kids above 6 y.o.  The hotel has indoor heated swimming pool for kids and the outdoor pool with very cold water (freezing) and has big slide and was so fun to tried. In the lobby we can find atm machine, holland bakery shop and big screen  for watching soccer live tv while world cup happening until july 2018.  "
"When you visited Malang, spare your time to visit this Zoo. And don't throw away your boarding pass, coz at this moment, flight such as Garuda, Citilink, Airasia and Sriwijaya, will get 20% discount and valid for two persons, just come directly to the marketing office and show?",,,,"For Indonesian this museum is a  good value of properties due to the expensive tax for imported car, for foreigners or the countries car producer country seems not so valuable.",,"We were staying with friends for the weekend. Overall was quite average. Room: good bed, but the AC compressor was just behind the wall so it was quite noisy. So we set it to ""fan"" mode. Bathroom: clean. Balcony door: does not have lock! Breakfast: good, plenty of selection Facility: given the fact that it's far from nearest store, it should have a minimart or vending machine ","I have been twice stayed in this hotel. First in suite. A very luxurious two bed rooms. Second time i stayed in deluxe room with connecting rooms. Both rooms large enough, very clean, perfect and nothing bad to say. The breakfast is satisfying. The staff are proffesional and quick responsive. I give score 9.5 out of 10."
"The Batu Secret Zoo for me is like ""night at the museum"" scene, where we can see preserved animal starting from insects, until mannequin of many animals. but not only the dead relief, Batu Secret Zoo also provides living animal such as Sumatran tiger. Great place to take our?",,,,"Wide area to explore . Many places to do your ?instagram? thing . Capture moments as much as you can <U+2764><U+FE0F> Both inside and outside , worth your holiday time .  ",,"I stayed here with my colleagues last week end, Oct 19th-20th. It was only for a night but I found myself wishing to go back and slept longer on the very comfortable bed in my room. Room number 603. It had a romantic view of city lights and the mountain in far background. Really wonderful  The room was small, I did not have enough space to pray as comfortably as I wanted. But they provided the praying mat if you asked the staff.   Something my colleagues and I appreciated very much was the Wifi connection. It was superb in both the meeting room and the bedroom.  Food? It was delicious and they served big variety of food for breakfast and dinner.   I would say that I would prefer this hotel to stay fin my next visit to Batu.","I stayed here with my family during holidays in Batu. The location near the panderman mountain, so the temperature cool enough. You need a car or taxi for going to recreational and culinary places because it's far away from the city.  Rooms, facilities and foods are excellent for family.  Overall is excellent. Thanks golden tulip Batu."
Clean...huge place...all animals are inside...kiddy rides are free included in their entrance. There are also small waterpark. Exit their park...pls a have a quick visit into their museum of animal. When you bring kids...its a great place for them in term of entertaining and?,,,,"When we entered the museum it was slightly raining. We went into the first part of the museum (which is located indoor, FYI) and when we want to continue the journey, it turned out that the next part was outdoor and it was raining heavily. We tried to continue walking (there are?",,"It was perfect for me for my visit in this area. The room is small but ok for two people. Clean, tidy, just perfect. The whole experience was nice. My room was near the parking place, therefore it was a bit noisy at night.   Breakfast was good. They had fresh veggie and fruit juice but you had to make it yourself, which was fine with me. ","Comfortable hotel with a touch of luxury. Excellent service, friendly crews, breakfast is reasonably varied and tasty. The only drawback of this place is that the entrance to the hotel (from the main road outside) is not sign posted well or at least lit at night. We miss the entrance each time especially as it is getting dark in the afternoon."
"I liked the concept of the zoo. Some of the animals were free, so we could see them closely.  All the animals were well cared. We could buy carrots or other animal food so we could feed them. I recommend renting e-bike to explore the zoo. ",,,,"So much more than a car museum. We thoroughly enjoyed our visit. We were given  discount, just needed to show our passport, i had copies & these were excepted. You need to pay 30k to take in your camera but mobiles are fine.  Lots of photo opportunities with props. Staff all?",,"Hi, i had just visited Aston for 1 night, and think that this hotel had a plus, first i instantly can get an early check in with no fuss, and the room itself was comfort i stayed at deluxe twin and the one i like is the setting 2 twinbed can be join into 1, the bed itself quite small because around 100x200 size. For breakfast is quite nice where they provide fresh juice station where you can request for vegetable and fruit juice of your choices, and they dont charge us more eventhough we bring our son for breakfast, it was a nice gesture. The rooftop view was breathtaking. And hopefully the hot swimming pool can be done quickly for my next visit. Overall had a comfort stay at Aston ",This hotel is quiet new. Fun experience for children and for take selfie. Room is great but remember that several room got bad view especially the lower floor because the balcony is to close with parking area. Having swimming pool indoor with hot water and outdoor with some playing stuff is great but just for considering the playing stuff at kid's pool must be overview for safety because the water sled's end is to close with the stair step. Food is good. The location is very close with Batu night Spectacular and Jatim Park 2.
"I have here for 5 times... very good maintain, animals looks happy... very clean place, i think this is the best zoo at Indonesia.  Entry fee prety cheap, u can rides all playground. They even have a free swimming pool and water outbound",,,,"The museum is consist of cars, lots of them. You will find several Ford Model T, a lot more others classic American and Popular Cars. During my visit, there are some military and weapon show, so, its kind of interesting there. My most attraction is got nothing to do with the?",,This hotel is a brand new 3 stars hotel from aston hotel chain. It's has nice rooftop bar and balcony for every room. But don't expect too much from this budget hotel. The Meeting room/hall isn't spacious and several facilities is still under construction (pool).,"Awesome view surrounding the property, great pools, and great kids playground and kids pool. Property is new and it?s definitely a great choice for Batu.  In terms of design and material choices, could?ve been classier and better (given the price points). But overall it was a pleasant stay. "
"This zoo so huge, I can see a lot of animals. Also they provide information regarding the animals. Great experience. ",,,,"Nice History of Transportation. Impresif, educatif. expensive ticket price when holiday. Good food Court with good food",,"Stayed for holiday with my wife, very good hotel. spacious room for deluxe room, I enjoyed staying in deluxe room. hotel located in mountain so I can enjoy beautiful city view and mountain view only from my room. also 24 hours fresh and cool air, I never turn on the Aircon during my stay.  breakfast was good, so many food variation. I like the traditional cake and sweet ""bubur"". I have to stay again here for next holiday in malang. Thanks Aston inn","We stayed here at Deluxe Room for the Ramadhan holidays. Swimming pool are fun, they have warm pool but only for kids. They should have warm pool for adults since this area is surrounded by mountains and water can get cold (4stars) The rooms are quite big and nicely decorated, but no bath tubs (so sad, 4 stars) Hotels service and experience are great. But the resort and the parking lot itself is so confusing (4stars) Breakfast are so-so, need improvements (3stars) The value are great! Its definately the best resort in Batu area for family vacation with this kind of price in Ramadhan! (5stars, checked)  Recap : 20 out of 25 This place is great for family vacation. They also have swan pool float and fun slide that added more fun to the pool area. Too bad we're with infant so my?"
"I have been to several Zoos and this place can be said as one of the best zoo with great facilities within the Zoo. The area so huge and they have wide range of animal species and kids activities. As we brought kids to this trip, the rest areas within the zoo is sufficient for?",,,,At the first time we were not sure to enter the area. We arrive 30 minutes before the ticket counter are open.   I am happy that I chiose to wait. Inside the Museum are so incredible. I can?t describe one by one!  See for yourself ,,"We traveled to multiple cities in Java Island for a nonprofit charity. They picked this hotel for overnight stay. Although only 3 stars but we were told brand new Aston chain, so what could go terribly wrong? Well here it is.   Hotel itself was alright and got a room with Mountain View. We were tired and settled to sleep early with partially open balcony door for fresh mountain air instead of AC. Soon after dark, we heard VERY LOUD MUSIC slowly turned into dreadful karaoke combined with occasional screaming from the open space rooftop level of the hotel. This senseless loud music DID NOT STOP until way passes MIDNIGHT!!!! It was a nightmare forced to listen to piercing terrible singing for what I recalled could be 4-5 hours, finally exhausted and slept at 1.30 am to be awaken by?","Excellent hotel, beautiful view, spacious rooms, big beds too. Unfortunately we got the room at the far corner so it was too far to just go to the lobby. When asked to move, customer service complicate the reason the room is under repair, when at that time many empty rooms and not too many guests. Breakfast menu is plentiful and tasty"
"Amazing outdoor place with lots kind of animal. Nice air with cool temp. The track is easy to go with baby stroller. Unfortunately smoking should be banned here, its hard to avoid kids with adults smoking nearby. Food stall was quite far from entrance, better ready with full?",,,,"This place is incredible!!  They have an exceptionally collections of any kind of transportation from any era.   And their collections was truly insane, they have a wide range of cars, motorcycles and everything. Like literally everything!   So this is a must-have-visit.  I?",,,"Been here for school holiday with my kids and found it was a great experience. They have a wide space room, amazing view, great variety of food for breakfast, kids pool and playground for them to play. Only minutes away by car to many attractive destinations at Batu such as Batu Secret Zoo and Jawa Timur Park. I think this is the best hotel at Batu."
Amazed with this giant zoo. Located in the heart of Batu. Animals are well treated. Kids friendly environment. Weather is cool.,,,,"I was there for my leisure time and theres a lot things to see. This museum is really one of my favorite list ever. Specially for those who really like automotive and history. Its a worth to visit once you go to Batu, Malang.",,,"This is the 2nd time we spent a couple of night in this hotel. The first one was during lebaran holiday in 2017 and it was chaotic. This time, we don?t expect so much but ended up having a great time with our family. The service, food, and room cleanliness is improving, and so much better than last year! Good job to the management team! Looking fwd to get back for another short escape! :)"
"Upon last Lebaran Holiday, our Big Family spent 2 nights at Batu, a small city 2hours away from Surabaya. We have heard before that Batu have several very nice Amusement Park as: - Batu Secret Zoo (plus Museum Satwa) - Museum Angkut - Museum Anggota Badan.  At the 1st day of our?",,,,This museum presented all type of transportation mode. They bring us to the historical of transportation and you will find also the miniature presenditial Indonesia Plane. You can find the car and helicopter from the first Indonesia president Soekarno. You can take photograph in?,,,"Our first time in Batu and we chose to stay here for 4 nights. True enough, the hotel was great! With the outdoor space lobby, perfect to enjoy the cool breeze. Our check in process was fast since there wasn?t too many crowds (unlike today on the 14th). Our room, premier twin, has a balcony overlooking the hills. The hotel has many great facilities: fitness center, big swimming pool, dining spots with beautiful views. However, meal (breakfast & dinner) was just okay. We also did some in room dining and the services were quick & hotel staff was friendly as well. Overall, totally enjoyed our stay here in Golden Tulip."
"Any animals related attractions around southeast Asia have very bad reputation for abusing the animals, so I was very please to see that Batu Secret Zoo had happy looking animals for the most part and well build path to see all the animal nice and clear",,,,Its a nice place to take a lot picture with fams and friends. They have a lot cars collections and many kind another collections to take picture?,,,"This is brand new hotel with modern design. You?ll be amazed when the first time you came.  The pool is great. Half indoor and half out door. Hot pool, jacuzzi. Mini water park. Gym and billiard, also kids club with video game. And also perfect place for snapping picture, i bring my drone here, nice place to use drone.  "
"i'm actually not a 'zoo-lover-person' myself, but visited this place has changed me a lot.  the collection, ambiance, shows are all great. i have no complaint on these.  games, play park, are all free to use and cater all families.  the food sold in the zoo are not so pricey. ?",,,,"I went to museum angkut at the end of 2014, and came back again after 3 years. No significant changes, everything?s still the same, I thought it was getting worse than before maybe. They forget to recolor the lampion at chinatown (so the red color turned into pale red), the?",,,"This is a new hotel but has good ambience, good air, clean room, especially the sunset, it is really beautiful. The room is very large, the bed is large too. My daughter won't come back home in here <U+0001F601> But unfortunately, the slow of check in is the problem. But the employees are good and friendly. It is a good hotel and deserve to get 5 stars"
"This zoo is clean, some animals are photogenic... We can learn much information about wildlife animals here, and their conservative status: extinct, critically endangered, endangered, and so on...",,,,"The biggest transportation museum in the world!(i guess..!) This museum is divided into smaller museums with themes such as Buckingham Palace, Japan, Germany, Hollywood & many more...! Each place will tell us & acommodates transportations related to the theme. with statues n?",,,"We stayed here for 2 nights crossing public holiday date and regular weekday, but still during those days the place was quite crowded. On public holiday, we checked in, and the receptionist said the hotel was fully booked and we can see that some public areas were very crowded such as lobby reception, restaurant, swimming pool and garden. We also experience some negative experience due to this 'crowdness', such as: - queueing for check in - calling house keeping or receptionist through phone in room was busy or no answer at all - once connected the fulfill was of our request was took quite a long time (we request extra bed at that time, and wait for about 2.5 hour till it settle and request for tissue at the other day) - calling for help from bell boy when check out time is very?"
The best zoo we have ever visited. The animals are great. The place is clean. Too bad we didn't get there earlier. The price is veeerrry reasonable. For IDR 120k in high season you get to see great animal PLUS museum PLUS amusement park. You can try all the rides for free. ,,,,"This is from my point of view. While the scenary presented a vary mode of transportation (most of it is land), our sons learn a lot!! Entertaining by a very rare car and the history of it also. The restaurant also very good though we must manage our time because of its queue and?",,,"This Hotel was great. We had a good time staying at this place. The room layout was comfortable. Aminities were surprisingly good in term of quality. One particular highlight was the spots for sightseeing. You can see sunrise in one side and see mountainous view or garden view on the other side. They also has a lot of facilities like children's playground, decent size of swimming pool, spa, fitness center, pool tables, and meeting room. One thing that I don't like about this hotel was the access between buildings; it was just too confusing and uncomfortable. The food was okay and had reasonable price."
Super amazed with this place! 120k for Batu Secret Zoo and Museum Satwa really worthed. You can see many kind of animals and they are so loveable~ ,,,,"You can learn lot of stuff here!  Especially about transportation and travel places.  They also offer many role play stuff and kids corner to play.  Many instragramable places, so make sure you bring your phone or camera.  ",,,"They have a modern building with complete facilities. Room is clean, including bathroom, facing to mountain & valley ( I took a Premiere room) . Breakfast is very good with many choices, and delicious as well. All the staff look very professional and helpful. This hotel also have many nice spost for taking picture."
"Good price for a very large zoo. Unique animals. Free wifi available at some spot. Clean toilet. You can try to feed some animals (lion, tiger, etc).",,,,this museum is very cool especially for who really like take a selfie. For the tickets you should pay 100k and if u bring camera also you should buy the tickets for that is 30k. U can learn about history of bicycles and u can cars from any brand.,,,"A brand new hotel with kids-friendly facilities.. one of the best hotel in Batu in my opinion.. great for family trips..  The restaurant is too small so it seems very crowded during the breakfast time.. the Hotel provides only 2 big towels in the room, additional 2 small towels will be useful for the guest.."
"Its second time we visit this zoo. This second visit we brought our  2 years old children. And its definitely will say good bye to all traditional zoo.  This zoo is children friendly. My child is very delighted to see various animal in this zoo. From bird, fish even snake And?",,,,"entering ordinary building, we were all ber suprised when later finding there was so many more to see at this place!   landing area was not quite impressive and i think putting an arrow in this area would help guests to go in flow and not missing cool thing.   we started having?",,,Rooms here are spacious and luxurious. The room looks relatively new and well kept. Breakfast is varied and good Fitness room and swimming pool are great. The service mindset is excellent across all departments. Highly recommended
"batu secret zoo was a huge playground for kids. They had a lot of animal. My kids was so happy been run over.  yeah..this place was huge and u need to walk down over there. Dont worry to being tired, they had an e-bike rent for only 100k/10$ so u can be there, with that bike",,,,"Nice place, lovely vintage cars display. Altho if you come during peak season it'll be hard to enjoy the place at its fullest. It isn't a big place and can get very crowded, the air cooling system isn't adequate to cater so many visitors. ",,,"What elsa do i have to say about ""Golden Tulip"". Best service quality, humble staff, great foods, high quality rooms, and top noch facilities. This is the perfect place to spend your great time with your family and loves lone if you are planning to have a vacation in Batu City, The price is affordable enough considering that this is a resort. But with all the facility you get, it is well worthy."
"Please note that they sold only entrance ticket in package. I bought the secret zoo-museum satwa-eco green park package worth IDR 150k, but i only visit secret zoo and eco green park since i dont have enough time. The zoo is huge. To get the best experience, i suggest u to come?",,,,We just visited this museum with a large of family members.  This museum really awesome. With large of  collectible thing. The museum divided to several sections. Good for young kids to learn ( e.g. as a pilot) We really enjoy saw all the vehicles from a round the world,,,"I was staying for a week on Business meeting in January 2018,  Location is just behind EcoPark 2 and up in the hill so easy to find but not easy to walk from front of the road. View was breathtaking and the very cool temperature at night. Check in and out is fast, room is decent size with balcony, choose balcony facing mountains for best view! Bed was okay and strong hot shower, as the hotel is new, everything is clean and works. provided hair dryer and standard 4* bathroom amenities. Room is well lit.  They have a big cold pool, a kids warm pool and a big size warm jacuzzi. also provide kids playground indoor and small warm water park for kids. had a big park to stroll around and many instagram spots!  Breakfast, lunch and dinner is good with various menu and taste delicious,?"
