Rotterdam,Losari,Taka,Bantimurung,Tanjung,MaxOne,Harper,The
"I like itu the interior, the design ia very unique , the place was a history place in Makassar, inside of the Fort you can see many things about Makassar, the goverment have a good Maintenance foto this building.","The beach was fine, it is where you get to meet and experience the lives of local in Makassar. However, the word statue are vandalized and not well maintain. Shame!",,,,,,We stayed at this hotel 17 august to spend our national holiday. The location and the view is great! Everything is nice until i go to breakfast in the morning and there is water pouring from the ceiling of the building. It was shocking to me <U+0001F614>i thought the ceiling  will be fall. I do not know what is happened with the building. It really is scary. Then i show my video to the staff in the restaurant (because I am heading to the breakfast area) and the staff is showing my video to someone that i think the manager and the manager does not care at all. I think its not the first time that this happened because i saw there is another 2 hole on the ceiling. I hope somebody take a serious action about this because yeah i scared that something terrible gonna happen to the building. Btw its?
"The fort itself was not that interesting in my opinion but it was nice to see. You make a ""donation"" when you enter the fort but really it can be anything - we only had 1600 RP (and big notes) and they gladly accepted that. What we would recommend is to visit the museum(s) inside the?","When you ask people about where to go in Makassar, it must be Pantai Losari. The government recently renovate the beach and make it more comfortable to stroll around. the sunset is best to see from one of the restaurant nearby. ",,,,,,"At first we hesitate to stay overhere because no one recommend us. But, the first impression changed it. Clean, modern and beautiful hotel. The room eas very spacious, minimalis and has complete amenities. You have to try the infinity pool. Because of the scientific meeting, we do not have the time to enjoy the meal except breakfast. But it was very nice, has traditional good besides of the wide variety of international food. Definitely we will be back if we go to makassar next time. "
"This is a good start to know parts of Indonesian history.  Makassar was one of the first cities/places to fall into the Dutch hands.  The fort has been restored and maintained quite well.  However, they could do more on the cleanliness.  The explanation on the displays could be?","Easy to access, good to visit with friends and family. Must try to eat PISANG EPEK (roast banana with topping) and Saraba <U+0001F44C><U+0001F3FB>",,,,,,"Wow this hotel give a good impression of Makassar is hotel. Their room is very tidy and clean, also good bathroom. They provide all guest necessity with an elegant style.  Gotta love their food especially their breakfast. Really delicious and provide a lot of choices which mainly Indonesian and Chinese food.   Their staff is really friendly and act fast towards nearly everything. Oh.. you can clearly see both sunrise and sunset on top of this hotel The other thing is their swimming pool is really superb. They design it similar to Bali but it was really good.  The downside is their parking lot because little bit too far from hotel. Overall it was a good experience to stay in this place"
"It has historic written all over of course,i t is a good place to go see history and kill time until it is time for your special affair of the day. You should include other places to visit on the same day because it will not keep you busy all day.","well developed & maintained but not much to do/ see here, get your self a good selfie in front of those gigantic letters and scram immediately. Avoid the persistent boat vendors offering a boat ride, the sea is dirty and smelly within that bay. ",,,,,,"visitors who need sea view and losari beach (pantai losari) must recommend this hotel. i saw that a lot of couple conducting their marriage and taking dozens of photos & video here because its sea view. location is very good although pretty far from sultan hasanuddin airport in makassar. breakfast is good enough as well as amenities inside the room. the minus one is the card is slot in elevator sometimes responds quite slow thats why make guests inpatient mean while guests in hurry, the favourite one is the swimming pool."
"Nothing more than what you can see on the pictures. At entrance they ask for a donation, save that money if you want to entrance the museum. Do yourself a favor and just skip it.","Dont expect sand and wave, beach is not swimable, just for the view (which is not much) You can take a boat ride to the open ocean though. Lots of street vendor at night, the coffee is good and try the local delicacy (pisang epe) basically grilled banana with whatever topping u?",,,,,,"This is a fairly new hotel . Location is good. Facilities are good. F&B is good. The place is clean, neat and tidy. Breakfast is good. The only minus point is the service. If you order something, it took a very long time before you get it."
"Spend the whole afternoon in Fort Rotterdam. The entrance fee is by donation - 5k rupiah would do. Quite a nice place to take photo! Well maintain but cleanliness, not so?","This is the heart of Makassar. The most popular hangout, where to find local foods such as Pisang Epe .",,,,,,"thank you for the nice service at the Rinra <U+0001F642>all staff are very helpfull and warmth, location is good near trans studio mall. we arrived at hotel at 11 am and try to get early check in. the front office staff has a fast effort to prepare our room. "
The place has a lot of potential to be expanded. It has a good number of collections from Makassar ancestors. Unfortunately they were not well taken care of. ,"Losari Beach is packed with families and attractions, people busking , life size movie characters and many shops and dining options all over. Great for a few photos especially around sunrise or sunset as it captures the light in a magnificent way",,,,,,"We stayed at this hotel between July 2nd - 4th at room 817 with sea view. We checked in quite late at 10 pm and brought with us several packages of vacuumed and sealed durians (our fault) and off course it will be impossible to put those it the room. Nevertheless staffs were so helpful and assist us in placing those inside coolbox while waiting until we can purchased styrofoam container. Even after that, they were voluntarily helping us in wrapping the container prior to departure. We werent expecting this level of service and totally grateful for all the initative and assistance. The hotel is quite recent and room was big, the only thing that i dont like about the room is that, there are 2 doors to the bathroom and none of it has lock on it. It might be uncomfortable for?"
"Turtley shaped fort designed to sustain artillery attack back on its day. Impressed by the stone work, I believe those walls at least are 1 meter thick. Explore around and get to know the colonialism back on those day.  Masuk gerbang terus ngisi buku tamu, bapak petugas berbaju?","The beach was replaced by a sea wall many years ago to avoid erosion. It was never a place for swimming in any case as there was, and unfortunately still is, a lot of garbage in the water. In the evening the only real drawback is the heavy traffic on Jl. Penghibur.  Visit in the?",,,,,,"Our mudik to Makassar was so sad because our 3rd son should be hospitalized for a week in Siloam Hospital. Our view from hospital is the Rinra Hotel. Our son is request to stay there after released from hospital. It is worth to stay in the Rinra. We took 4 rooms there for children and sister-in law is family. The rooms are clean, bathrooms are spacious even no bathtub. The TVs are large and clear object, nice to watch. The great view was the swimming pool. It was grand and has many little pools for children. Nice. The slight disappointment was when breakfast time. It was vice president visit to the Rinra and having breakfast there. So other guests including me had to move to the side of the pool. The varieties of dishes were so limited and not being fill-in again. So many guests?"
"One of indonesian historical heritage. We saw 2 mummy collection here, creepy but awesome. A wide area and many collection <U+0001F44C><U+0001F3FB>","Though it is called Losari Beach... Do not expect a beach as there is non..... A stretch of coastal line, not very long if compared  to Patong Beach or Karon Beach in Phuket, Thailand",,,,,,"Location and view is excellent. Check in and check out process are terrible, too long .  Untrained / unskill person at the front desk. The breakfast management is poor. We need to find the table ourselves. Sometimes it takes 15minutes in order to get a table. Many of the foods are empty and the replacement time is too long. This is weird as they have known the number of person / room occupancy  the day before.  Need a lot of effort in order to open the sliding door of the bathroom. Too noisy at the room is corridor. They need to put a ""Quiet Please"" in every floors.  The Gym area was nor properly managed. The drinking water was out everyday."
"Fort Rotterdam only a 7 minutes walking distance from hotel, near the famous pantai losari with ancient portuguise design if I am not mistaken, with underground jail below the fort itself surrounded with several big room and greenery garden inside  ","Wonderful place to enjoy sunset, so many stalls selling  pisang epe and saraba  ( grilled banana with topping of your choice and drinks that consist from ginger water, palm sugar plus milk) the local is favorite snacks.. Love to take a snap here and there, because they have?",,,,,,"The hotel is open for business but half of the property is a construction zone. The shopping center attached to it is only 5% built. Most of it says, ""coming soon"". Management is photo of their infinity pool is misleading. The infinity pool faces the Port of Makassar, where the view consists of cranes, bulldozers, container ship traffic jams. The pool was beautiful and very well kept but there was nothing to look at beyond the hotel is borders.  My room was very clean and well designed. Every marble surface, every piece of glass glistened. My room included every convenience needed for my stay including a hair dryer and comb for my wife. We had a wonderful nights sleep. The included breakfast buffet was simply amazing. They had a good selection of western breakfast items and?"
Fort Rotterdam is in the shape of a turtle from an arial view. Sufficient parking out the front.  Unfortunately in need of much repair/ care. But nice for a quick walk around the walls of the fort. ,"Cool spot for sunset. Heading the west coast of Sulawesi. You can easily find local street food (pisang epek) here. But, disappointingly, it is a bit far from clean.",,,,,,"The hotel is nee and one of the best in makassar. Located in Tanjung bunga , not in the city center, but near to Losari beach and near to Trans studio makassar (indonesia is kinda universal studio) . There a small mall next to it ,at least it is easy to find food.   Room is spacious and clean. Bathroom and amenities is good too. Breakfast selection : very good and good service.  Pool, infinity pool, L shape so definitly not for lapping. "
"This is a nice surprise for those who treasures the value of history. To place the information within the Dutch colonial fort is a very nice touch.   The fort is quite well maintained, the information presented concise. However, we feel that there are a lot of wasted space, plus?",This is not the best place for recreation in Makassar but it just the trademark of Makassar city. There are many attraction available in many times especially on the wekend. Cool enough to be visited,,,,,,"I recently stayed at the Rinra. The Hotel connected to small mall. Therefore it is quite convenient to hangout with friends. The hotel itself is nice, clean and pleasant to stay. The hotel is facing to the sea (sea view). The breakfast spread is acceptable. I would suggest minor improvement on the black coffee taste. Room is spacious, bathroom is spacious too. Overall pleasant stay and i would recommended this hotel."
Surprisingly amaze with former holland soldier stronghold in Makassar.  Amazed on how holland soldier built this stronghold so complex with their necessity. Including their necessity to imprisoned Indonesia people. Eventhough amazed on how Indonesian people suffer from?,"When we go to this beach, there will be an event in the night, so this beach full of preparation for the event.  Walking from ""Bugis"" to ""Losari"" and any other spot, is good enough for you who likes to take picture. This beach is instagramable <U+0001F4F7><U+0001F605>. Many unique photo spot in?",,,,,,"25-30 minutes from the airport via highway (could be less in the morning time), the location is a streetscape but you could get a taxy and 4-5 minutes from this hotel is the famous losari beach,hospital, or if you want to  buy somethin i guess 3 minutes from this hotel just around the block you will find a transmall . what is my favorite besides the infinity pool is the rooftop view at the night time, and the breakfast menu! its legit! but i just cant handle the smell of garbage near the infinity pool, they should tackle this issue or the beauty of their infinity pool would be just wastless"
"Dutch colonial fort pretty well maintained... Though there is no entrance fee but upon signing in guest book, Visitors are asked to make  wouldonation"" but no receipt issued....","Especially in the weekends it is nice to see the locals enjoy themselves with food, music and markets.",,,,,,"A new thing in town. A good view from our room, cool pools , family friendly and also for bussiness trip, the staff very helpful and informative, minor inputs is please increase the staff is ability to speak English, since they are a five star hotel, so make sure all the staff (not only front desk) capable of it. Foods, facilities all good. So far ive my best nights there (since it was my first time in Makassar)."
Good for people who like national independent history and a lot memorials with nice ocean view and specially for Japang and Hollander,"Maybe its nice to take picture there (if you need proof that you have visited Makassar), but nothing really special here. You would have drive by this area anyway if you  are in Makassar. ",,,,,,I choose this hotel because they have good rank on tripadvisor... the hotels property very good. Room amenities ok and the other their strength point is they  have pool with sunset view to the beach.  Many point the hotels needs upgrade ; cleanliness in public area is very poor. Specially pool area as well as fitness center very dusty ... I can not enjoyed here. Lobby carpet is very dirty . I ask the employee this hotel running almost 1 years but unfortunately they do not maintain it very well.  Check in and check out process make me upset... first during check in they do not realize I booked for 2 rooms with same name means family .. they separate us far away. They said this is from reservation team .... Hello guys you are in one team! I stayed for 5 days  and during check out when?
"No need to pay to enter this historical building. If we need local guides, will be charged by 100.000 IDR at the end of our visit. Local guides will accompany us walk throug the museum and tell the story of every side on this building. Wonderful visit! Got much knowledge there. ",It is a beach with no sand:) so do not expect to swim... It is a pier with many locals or tourists watching sunset. Also there are many restaurants around.   This place keep improving from time to time. I can say this because my grandma is place is located nearby this beach. So I?,,,,,,"Stayed at Rinra for 3 nights, technically the best hotel in Makassar.  Pluses: + Nice room and hotel, they have infinity sunset pools, they have nice lounge as well.  + They have Bosowa taxi pool - which is one of the biggest taxi co in Makassar. + Staff is nice.   + Stayed at 16th floor and got a room which viewed Losari Beach, so you got the perfect view of Makassar skyline + Closed to Trans Studio Makassar + Next to Phinisi Point - plenty of restaurants.  + Got a promo from Booking.com, so if I compared to similar hotels in Jakarta, this is worth the price.   Minuses: - Location - although it is not too far from Losari Beach/Fort Rotterdam (the old city center), but it is not to close as well, so it will cost you Rp 25k-30k for a taxi from hotel to Losari Beach/Fort Rotterdam?"
I was come to old fort since i work in some islands in mollucas area. I visit aome town and every town has small fort.   This Rotterdam is bigger than any fort i have visited in years..,"Despite the beautiful view posted on the internet, the reality is quite different. It is indeed bautiful during sunset.  And be very careful when taking photos of PANTAI LOSARI and CITY OF MAKASSSAR. Certain position or view will show some ""funny/dirty"" words.",,,,,,"I opined that The Rinra is one of the best hotel in Makassar.  Located near Losari beach...the hotel is benefited with its strategic location and good sea view.  Love the interior, infinity pool, breakfast etc.  To the breakfast menu, it would be lovely if the hotel could provide some of  Makassar traditional foods i.e pallu basa or coto ...so guest with limited time can also enjoy Makassar traditional food without having it outside.  As for the sport facilities, it might be better to enlarge the gym and fill with more sport equipments.  One more thing...since the gym area is located outside and  almost at the corner..it might be better to provide a small roofing path...so guest can walk to the gym eventhough rain is coming.  Surely it was a pleasant stay and recommended to try.?"
"It was a nice, historical building at the heart of Makassar. But the museum inside the bulding was so hot and not well air conditioned. You could spend about 45mins - 1hour in this building and that would be enough. ","Food all the way and street at the night time. Traditional ginger beverages, very good for body. Nice place to hang out with friends with a minimum budget. Also they have art painting museum. A hand made painting from student or local artist was showing in a 18sqm small?",,,,,,"I stayed for 3 nights here. I can rated this hotel good in breakfast and design wise (eventho, i am not sure they copied the rimba bali pool and conrad bali church or just  inspired  ) .  What dissaponted me the most:  1. We accidentaly pushed the ""privacy"" button so they were not clean up the room as we arrived at the afternoon. We got it. Then we called the housekeeping staff to clean it up and asked them for the bottles of complimentary water but until i fell asleep, they never made it to clean up our room. And we were super thirsty because we were not given our complimentary water.   2. The staff are not allowed me to swim in the pool even for just a dip because i only wear my sport short (just got it out of the laundry and haven been worn for jogging or doing any kind of?"
Visited the Fort to take photos. It is best to visit either in the morning between 10am to 11am or late afternoon just before sunset (4.40pm to 5.30pm). It is quiet a great place but not all  ispots  were open to be entered due to renovation and other  not being explained or?,"This is the most famous city landmark of Makassar. The best spot is taking picture with background big letter of PANTAI LOSARI. But when I visited it, there were some umbrella tents that sell food in front of the letter. The management should consider not to give permit again?",,,,,,"Stayed for 1 night travelling with another room. Requested same floor and request met (almost next door). Good breakfast but could not figure out how to get fried/scrambled eggs probably because my indonesian is poor, but better signage or assistance would have helped. Outdoor bar tables are too high for  the lounges. Small amount of mould in shower which I was not expecting. The zumba class in the ""wedding chappel"" gave a lot of energy to the area in the morning which though not my thing, I may try next time. Reception was amazing on check in, and when I could not find a shop for a sim card, offered to get one for me in her own time and come back in the morning for me. Another staff member whilst I was looking for the gym could see I was confused escorted me to the gym past some?"
It said free entry but the officer asked visitors to fill in the visitor book inside the office so that we were pushed to give extra money. Not big but it was just improper....pungli,"good place to enjoy the time, specialy on sunday it is car free day and the children can play with no worries.",,,,,,"On top of the spoiling room and facilities, one distinctive point from the hotel is the mind-blowing scenery you can enjoy from the room, the swimming pool, and the restaurant. Such an awesome spot to have yourself get blown by the gorgeous view of Makassar!"
There is many colection related to the war in Dutch era. The fort are is very big and located in front of the beach. You can catch the sunset view from the top if the port and it is really interested ,"Good view, there are many people who sell the traditional food as pisang epek. Many souvenirs store here But there are some people who throw the rubbish . The government should take some policy and action for this matter.",,,,,,"Service was excellent, all staff was very helpful, especially the Housekeeping the room was very nice, also the cleanliness, facilities and view. Recommended hotel for any kind of travelers business or leasure"
Too many people like a lovebirds and only want to take selfies than to know about historical and story behind this building. ,Picturesque and interesting and can meet very nice and very friendly people .Very Good. I met Indonesians  Chinese  Japanese holidaying we met did not speak each others language but could communicate and all had a great time together  I will always remember.,,,,,,"Hotel with excellent service , has spacious rooms big enough with good hygiene well. This is my second stay , and fell still same when in check in first , they improvement for parking area , and look better before i came first. I hope this hotel have promo for member for guest."
"It is free to enter. They ask for a donation fee to enter. A very historic place left by the Dutch. However, I felt that the items displayed in the museum inside are not well taken care of. You can see them deteriorating. Such a waste.","If you think, that Losari Beach has sandy beach, you  are not even close! It is a square, practically it is an open space area with sea view.  A tip from local: - If you want to take a good picture without anyone wandering behind you, do it in the morning. It is quiet and no tourist?",,,,,,"Everytime I travel to Makassar I always look forward to my stay at The Rinra. Everytime it just never fail to impress me. Service is good, ambience is perfect the best of all food is good too. The breakfast buffet spread is just amazing when I am staying here they are serving Coto Makassar and also Sop Saudara at their breakfast. Thumbs up ! Highly reccomended. "
What do you expect? This place save many history of indonesia when netherland come and build this place.this place is near from beach and port to kahyangan island.i not really reccomended for a big expectation because this place not really organized by government,"The beach is good for hangout or even meeting, there are many traditional culinary spot here, restaurant, cafe or just coffee bar also many attraction and people visit while on the weekend",,,,,,"Best place to see makassar city from high place. It was made me took a rest comfortly. Free breakfast and swimming. On saturday night, we may join Mongolian BBQ on 3rd floor with music. Let is join and enjoy all i had enjoyed."
"My expectations were well surpassed. The museum collection is very good and helps explain the long history of the area, beyond only the Dutch colonial period. A fee artifacts are exceptional, including those in the photo I am attaching. Well worth the visit! ","losari beach is a nice place. we can enjoy the sound of the waves, while walking along the beach, and also enjoying culinary ""pisang epe"". I was impressed the beautiful sunset on losari beach.",,,,,,"New hotel in makassar , have a unique concept with beautifull view .   It was great experience for me and my friend to stay at The Rinra makassar during my bussiness trip to Makassar. the hospitality of hotel staff was excellent , The menu of Lontar restaurant was fantastic .."
"Fort Rotterdam is the best-preserved piece of Dutch colonial architecture in Makassar, and indeed on the whole island of Sulawesi. The buildings are in good condition and the grounds more or less well-maintained. There is not a lot to see here per se, but in a city of few green?","The most iconic or landmark of Makassar city is Losari Beach. Easy to get, and very crowded especially on Sunday evening. You can enjoy the sunset, and try local foods pisang epe, mie goreng (fried noodle), nasi goreng (fried rice), and many more.",,,,,,"After 5 days snorkeling marathon in Tanjung Bira, I think my 7 years old daughter and nearly 60 years old mother need some ample rest before we fly home. I decided to stay in The Rinra for a night, I booked two connecting rooms for 4 person (me, my husband, my mom, and my daughter). My first impression about this hotel was not so great for two reason: I could not make reservation for two rooms online so I had to make a phone call and they could not accept credit card to confirm my booking.  However, everything turned better than I expected.  1. The check-in/out process was easy. All the staffs were polite and very helpful with our luggage. All staffs seemed eager to help us or make us feel more comfortable. 2. Rooms and bathrooms are spacious. Everything is spotless, functional,?"
A lesson in history of how Makassar started and became the great trading port it is now . The native rulers . The structure and civilengineering fete  that became a fort and how things progressed to today,"I come to this beach at Sunday Morning. Initially I intend to work out a run in Losari beach area. However I found Losari beach is very crowded with people and merchants, so I undo my intention to work out there.",,,,,,"From the moment of arrival until departure the staff here very welcome to make one is stay a pure pleasure. Once his hotel employees are friendly, all request immediately always fulfilled, they were very helpful at all my work in the hotel.  Easy to go some place as Losari beach, Fort Rotterdam and sales center typical souvenirs Makassar "
"There are some nice aspects of Fort Rotterdam: it is easily accessible, enjoyable to walk around, and educational. The museum would benefit from some better explanations of the exhibits in Bahasa Indonesia and English and it would be helpful to have guides that did not pressure?","This place of central crowd fir this city. You can look alphabet of all tribe in sulawesi. So many local traditional food such as pisang epe, mie titi, etc",,,,,,"Great Stay with great view. I loved the interior of the room. Infinity pool is so great!! modern ethnic restaurant also make me so comfort. The services also great. But, it will more georgeus if there are jacuzzi. Recomended place to spend your time in makassar city!"
"Must need a guide for the museum. Otherwise just walk around and you are finished in half hour.  The first museum contains lots of information and it can last one hour. The second one only show some weapons and you can finish in 10 minutes. Not worth the 5,000 rupiahs.","This is the right place to knowing Makassar history. Inside Fort Rotterdam have La Galligo museum and library. Also, Pangeran Diponegoro (Indonesia National Hero) cemetary.",,,,,,"Most friendly and helpful guest relation ever, so lovely and great first impression of hotel. It was clean, stylish, roomy. Room itself was well equipped and comfortable, althought we smell some bad odor in first hours. Unfortunately there is no basement parking bay, make us difficult to access the car from our room. I could go on but suffice it to say I was pleased with my stay, and although short and sweet this time, I hope to be back for a longer visit in the future."
This place is located downtown Makassar. Near the beach and harbour where you can see the shipping process and beach view.  To enter this building you just enter your name at  security and pay admin fee. You can go upstairs and see the building view of Makassar. Prepare yourself?,"I visited to this place cause my hotel very near from here and i am very happy with my trip, here i meet travellers from swedia, inggris, irlandia.you all is the best friends.you make me feel perfect holiday",,,,,,"The Rinra i called home sweet because this hotel so great view and specially the ""Reception"" is friendly staff make our stay so comfortable, room is clean and We love the sunset in pool it so nice view and Rinra near to Losari beach"
"This turtle-shaped (if you see from above) fortress lies on the 3 hectares of land and consists of some separate buildings. Take a tour guide with you to explain the history of the building, I personally will recommend Pak Widham, he is always stand by in the main gate of the?","The goverment must  to give mpre attention for the cleanlines, i like to spend afternoon in this place because we can see the beautifull sunshine from here. There so many people that sell food but only one choosen menu is pisang epe , better if there is another choice beside?",,,,,,"Met Chef Nanni formerly one of the best Italian chef in Bali, he does not disappoint expectation in Makassar..  The Rinra restaurant offer always the finest dining experience you can get it town. Congrats to Chef Nanni for this improvement. "
"This place is quite preserved but not as good as Kota Tua in Jakarta. You can stroll around the fort and learn about history of Makassar in La Galigo Museum. Bring your hat/umbrella/sunnies if you do not want to get a sunburn. The sun is quite intense because it is near the sea,?","Very recommend to visit this place.  Many interesting places around this Beach like restaurants, bar, typical district or tradition buildings. I see a big construction in the mid of the beach which seems going to be such a presidential building...  Wonderful. Also there is being?",,,,,,"Very recommanded  for you spent weekend and enjoyable hotel to stay, love the interior design, near from Losari beach and Trans studio mall Makassar and Nice view, friendly staff and the Reception so beautiful"
The fort was well maintained and nice garden with museum. But it was not convenient smelt damp and felt not healthy if you entered the area especialy with AC on.  They should open all windows during morning and AC on during afternoon.,"Area was convenient to hangout and you will find local people enjoy the night strolling. The area was big to jog or walk. You can easily find restaurant or food cart around.  One big Complaint was the beach near mosque was so dirty with empty Aqua bottle, it was disgusting.",,,,,,A very nice hotel . Very clean and neat and a very good Swimming pool wise.  Iskanwanti and Anggi AS are both very nice.   The only thing is to have more bars opening in the hotel.   Other than that everything else is fine and good .   It is a very good hotel to stay in .   Regards Ronnie  
There is nothing much to see in this Fort. They make you pay to enter every single exhibition hall. Not much historical things to see here.,The beach is actually a water front. It does not have any sandy beach where you can walk. The water is dirty. There are lots of food stalls by the street. The local city council should look into cleaning up the garbage and making the place look better.,,,,,,I am really really glad to have wonderfull experience at The Rinra Makassar. I love this hotel even this is ours first time stay here but very enjoy because very nice view romantic view at swimming pool so nice can spent time with my husband. Recommed hotel for you if you come to South Sulawesi because this hotel near Losari beach and Trans Studio Mall.
"Its a nice place to learn history of Makassar since Museum of La Galigo is located there. The museum in fact is a small one, but consisting the journey of celebes history since prehitoric era till now.","It place for someone want to get some inspiration. A lot of street food here, the popular is pisang epe. Its kind banana that get roasted use cheese, chocolate and sweat creamer milk. Not  much activities that you can todo here. You can make photo shoot to mark yourself that you?",,,,,,"Stayed 3 nights in January. Impressive lobby, rooms look new, are spacious and clean, the bathroom a generous size. Our room was on the 6th floor (designated non-smoking floor) and offered expansive views of the waterfront and pool areas. The infinity pool is a popular hangout for guests and visitors. The hotel is buffet breakfast offered an ample selection of western and local favorites, though quality of the food is nothing to rave about. The gym was not ready yet, and the hotel caters to smokers, which is unfortunate for us who are very sensitive to cigarette smoke. Alas, the nicotine smells wafted through the ventilation system. The next day we made a request at the front desk for air purifier/deodorizer/whatever...to clear the foul smell. Either they could not understand, or?"
Benteng Rotterdam is a historic place... If you love to learn history then this place is recommended to you to visit.. It it located in downtown Makassar City... And the entry ticket not expensive... ,just come here for taste the pisang epe at nught. delicious yummy. And frobt view if the beach really amazing,,,,,,"i try this hotel as my friend recommendation for a new hotel that i must try, i stay for 3 night and got a good price for that. some of the facility in this hotel ( GYM, Bar, Club ) not open yet,only pool and restaurant at the 3rd floor ready to serve . as the view from my windows  some part of the hotel still in construction and that down grade the view (actually i love the sea view, but not the construction building) the amenity in the room was good and complete enough (its could be better if the have ironing in the room) the furniture a bit not classy, its seem like a cheap furniture from the home appliance supermarket ( i still not understand what the door /windows in the cabinet trough the bath room function) i think they not ready to open as a five star hotel now, but i?"
This fort quiet well maintain and shown the dutch colonial design. The view from top on back side quiet nice. Here you can learn about the history on how the Sultan Hassanudin fight to free his people from Dutch colonial.,Looking around and taking pictures in front of the big words of Losari or Makassar. You may visit here at the afternoon and you can find pisang epe.,,,,,,"Been there couple of weeks ago for a business trip i found a lovely Italian restaurant in the hotel with an Italian chef Gianni, who host us and take care of us from arriving to leaving. Great pasta (i guess is the best in Town) and service, dessert were amazing good job Chef and see you soon!"
"Enjoyed walking around this place and exploring historical buildings. To get in you need to make donation, we gave 15000rp and they seemed happy about it. You can get a guide if you want who will tell you about the history. There is also a tourist information if you want to make?",Its just a concrete waterfront area with a few statues. Never seen any sand or pebbles. I think they have a few little boats or similar.,,,,,,I was staying in early February with my friends whom came to Makassar. We loved the hotel interior design and the ambiance quite mild. The room was very huge and we amazed by the view overlooking to the Pantai Losari and the giant pool. I experienced an unpleasant treat from one of the security guards who incharge in the parking lot spoke such very RUDE person. He need to be trained for sure... The Concierge Staff very responsive took care our luggage and has heavy smile. Whatta a good farewell
"One of colonial heritage in the port area of makassar, the place it is well maintained. Love of green grass and combine the brown of the colour of building. You must to visit this place when you come to Makassar. ","Losari Beach is one of the best place to watch the sunset in the city of Makassar. It has been transforming to a better place now, but there are lot room for improvement.",,,,,,"This is probably the best hotel in Makassar. Prices are on par with jakarta 4-5 star hotels. The rooms are good, the breakfast is fair. There are some odd design features (strange window from the bedroom to bathroom, a large column for the TV set that takes up a large part of the room and plants at the pool that obstruct what could have been a great view of the city) which suggests that some things have not been thought through yet. We had a room with a view over some industrial building, not very interesting. But the rooms are clean and comfortable. Unfortunately, parts of the hotel were not finished yet in January 2017. There was no gym yet and a nice viewing deck was not accessible either. The staff is super friendly. The breakfast is fair and offers a reasonably wide range of?"
"Entry to the fort is chargeable. Some say its haunted. But its a very old complex of low rise Dutch designed buildings. There are some old exhibits like wooden boats, cannon, statues. Some shops/office exist within complex. I came across a shop with some shipwreck souvenirs like?","This is the best place to enjoy awesome sunset on Makassar. Located on the city, easy to go there. The place is very nice, lot of people gather here.",,,,,,"Everything was good during our stay, the staffs are handy and friendly, the breakfast was good with plenty of choice.. we were satisfied ! They dont have kids room yet, it will be good of kids room available"
"This area actually not maintenance well. Everyone who enter the fort need to register and sign the name. And then the officer asking for money that they called ""Sumbangan Suka Rela"". Not much can find inside the fort. The view from the top of the fort was full with surrounded?","This place as a centre of public entertainment in Makassar, the place still under development however it is you could visit . A lots of food stall and many urban letters design in the park. You could see the phones boat as an ancient boat of Bugis people and also the beautiful?",,,,,,I just stay 2 nite but so enjoy can stay here everything is good view nice and very very romantic place and the staffs is very friendly they  are always smile to serving us. The Rinra recommed hotel for you all if visit Makassar 
"As a cultural heritage the Fort Rotterdam was well maintained. Clean, and nice historical colonial fort build by Dutch, that is now become one of the well known tourist destination in Makassar. But for the museum itself that use some of the buildings, the place needs a lots of?",This location is the only place that full of crowd. Not many attraction can found here. The background of Losari and other letter is the best spot to take picture shown that you already at Makassar. Many people sell local tradional food like grill banana called pisang ape with?,,,,,,Wow this is the one of hotel ever iam visit its so amazing wonderful view and so romantic sunset in pool i love it and very enjoy stay in this hotel thank you for your service The Rinra one day i will come again.
"Fort Rotterdam is a place to visit to all people visit Makassar. We can walk around the fort, and if we take a look from the sky the fort is look like a turtle. There is a jail which is Pangeran Diponegoro was jailed in 21 years. You can also see some Makasar cultural things in?","Nice place to find local food. Really crowded at New Year Eve. The people are nice, the food is good",,,,,,The hotel still on progress. Parking space insite parking building is not available right now so we in rainy season like now is quite troubling. The room not sound proof because we can hear noise from another room. Amenities are completed. The view from the window in the bed room is beautiful in the evening. Bathroom is not convinient for people sharing room with friend because there is open window space between the bathroom & bed room although it can be close with door from the cabinet.
Nice for a walk around. But for some reason many of the buildings are not accessable. The museum was interesting but many of the display lights were off and we couldnt see very well.,"I do not know why they called this a beach, even tough the fact that this just a city boulevard where so many cafes, restaurant inside it...it is always overcrowded in the night and the traffic just crazy...",,,,,,"The Rinra is categories a new hotel. This hotel had a good view. Facilities is awesome, service is good, supported with helpful and friendly staff. Room is spacious, clean, elegance, quite, and we can had a good quality sleep. Internet access is fast. Breakfast with so many variance foods, fruits, bread, and pastry, also ice cream. This is my overall score: Location: 4/5 Service: 5/5 Room: 5/5 Breakfast food: 4/5 Sleep Quality: 4/5 Hospitality: 5/5 Value vs Price: 5/5"
