White_Charter,Tangkuban_Perahu,Dusun_Bambu,Saung_Angklung,Ciater,YELLO,Aryaduta,Trans
"Kawah Putih or White Crater is the sister attraction to Tangkuban Perahu.  Another Volcanic crater you can access quite easily.  Entrance fee still a reasonable 50K Rupiah (IDR), much cheaper than Tangkuban Perahu. Stop at the foot then change to a small local open-air vehicle…","Upon arrival, we were approached by a tour guide. He says he's a legit tour guide as he showed his pass and we carry on with him. He then brought us to a information centre and informed us that we were to pay 200k to enter the domas crater.   After much discussion we carry on…",This is my first time visiting Dusun Bambu and I'm suddenly falling in love with this place from the first time I entered the gate. Good food and breathtaking scenery view! ,"It's just one word that can describe my impression after watching the performance here, everybody's got entertained!","It's just one word that can describe my impression after watching the performance here, everybody's got entertained!","Overall is good, especially location and service. Near mall paskal 23 and food market. But I dont like the parking, when busy time, its difficult to find parking because mixed with mall. Better if they have a special lot parking for guest","All is perfect, we like the breakfast Staff friendly from the front door till the pool guy Location is gold, we just go by side wing door to go to bandung indah plaza to find we missed in the bag Thanks to Aryaduta","This is our second time in The Trans Luxury Hotel and we’re so happy that we’re here again! It’s the best hotel in Bandung so far, from the lobby to the rooms to everything. All the staff are very helpful and friendly.  So satisfied with my staying at this hotel!"
It is irresistable to take many pictures there. The unique view nature has provided will make you wanna stay there longer. But you can only stay for 20 minutes due to health risk. If you stay too long you will get breathing problem. They also recommend you to wear mask to…,Read the review before we went.Although this is the 1st time the expectation is not worthwhile for the entrance fees paid..Manage to see the Kawah Ratu ..take some pictures and then the heavy downpour dampened our mood further...what a day to spoil our visits..,Cool park filled with a great line of activites. Cheap entry fee. Tried sniper and archery game and it was awesome I tell you. Would definitely come back to try more!,"We arrived not knowing what to expect. Generally this was a demonstration of traditional Indonesian cultural activities. Included demonstrations on puppetry to tell stories, traditional music, and dance. The audience actually got to participate in the musical portion of the…","We arrived not knowing what to expect. Generally this was a demonstration of traditional Indonesian cultural activities. Included demonstrations on puppetry to tell stories, traditional music, and dance. The audience actually got to participate in the musical portion of the…","Location is great, connecting to a big mall. The room is small but clean. Unfortunately, no shampoo and I couldn't get any shower-cap. It seems that the hotel is designed for men only. Breakfast should be improved.","The service from the hotel staffs are top of the line. Since checking in to checking out there was no hassle at all. Eventhough I actually made two separate bookings for two days and the room types are different, the transfer was very smooth. The hotel facilities are also top of the line, easy access to shopping mall and retaurants, huge pool and kids club, and big size rooms.",Partner and I were there for honeymoon. It was the best decision we did to choose Trans as our hotel in Bandung as everything was amazing. There was also complimentary cake and deco was also amazing! The breakfast spread was superb and amenities in the hotel totally exceeded our expectation. Staff was also well-dressed and always on hand to help out with any questions. Connected to the Trans Studio Mall and the Trans amusement park. Very convenient place. Totally had an amazing stay!
"This place known as Kawah Putih, is two and a half hour drive from Bandung City under normal traffic condition and can be much longer during weekends.   This is an inactive volcano whose crater has now become a lake hence it's name White Crater Lake. The lake is filled with…","I visited on a Monday morning, and it wasn't packed with visitors. At Rp200k per person (foreigner rate; on weekends it's Rp300k), plus a further Rp25k entry fee for vehicles, it is a rather pricey trip. One is also at the mercy of the weather. When I visited visibility was fine…","We spent 3 days and 2 night in 2 rooms cottage. A very traditional wooden housing, which surprisingly very comfortable and clean. The services were fantastic from the entrance to the checkout.  The food were very good. The leisure facilities were also very nice. We enjoyed…","Good place to know about Sundanese culture in a very awesome way, and they even going to ask you to play along","Good place to know about Sundanese culture in a very awesome way, and they even going to ask you to play along","This is my first time staying at yello hotel and i enjoyed my holiday. Maybe i'll back again or tell my friend about this place. Good service and good facilities. The weakness is internet, so slow and need improvement. Thank You Yello Hotel","i like the location, i love the staff. But the carpet in my room smells damp and the food looks so cheapo (sorry to say that but its fact). i remembered when i was stay at Aryaduta Medan it was so awesome. i hope Aryaduta Bandung can improved the standard.","The hotel and facilities are really nice. Gym and the equipment are clean. Good spa services. Staff are very courteous. Great selection at the breakfast buffet, service is very slow. Took a while to get a cup of coffee. The 18th floor serves good food with a great view.  Had an issue with next bedroom guests, they were making so much noise at 10:30 at night. Had to call manager twice to ask them to ask the guest to keep the noise down,. They should have handled it after the first call. "
It is certainly unique in the sense that you might not see the same attraction in other countries. The long drive to the crater which is inside a nature park makes for a very good road trip though the roads are bumpy and doesn't regularly notify of the distance to the main…,"Tips -  Do not go in weekend...too many people and 100k extra for foreigners  For public transport , go to Lembang then get on an elf or any bus to subang area for 15k. To save money you can walk the 3.5 km ...it took me 50 min to up and 40 Min to come down in the road...not…","I was travelling with 2 kids, 7 and 2yo. They both love the Rabbit Wonderland and the Bamboo Playground. Spent about 3 hours playing and feeding the rabbits. We travel during wkdays..recommend to avoid the crowd. Plenty of food stalls in the area, very convenient for the kids.…","Saung Angklung Udjo offers a very entertaining show. They perform traditional Sundanese puppet show, dances, and the main show itself; angklung performance. They also teach the audience how to play angklung, and then play it together to create a beautiful music. I loved the…","Saung Angklung Udjo offers a very entertaining show. They perform traditional Sundanese puppet show, dances, and the main show itself; angklung performance. They also teach the audience how to play angklung, and then play it together to create a beautiful music. I loved the…","Really good location, it's like a place with full entertainment, they have gaming station, netzone, and the main point they located in the mall area. Although the room is small, but the services are so good, the staff was very friendly and helpful. Hope you can keep this excellent service!","A place to stay when in the heart of Bandung, next to the mall, near yogya super market, good service, nice staff, nice big room with bath tub, good variety of breakfast, but the swimming pool is too cold, ","It was a pleasant hotel that I ever stayed. Very recommended for all trip purposes. Very friendly staffs. Great services. Best facilities and nice to experience. I'm not kiddin', try it yourself. Lovely Luxury Hotel."
"It is called Kawah Putih in their local language. The place is nice, weather is cool. You have a choice to drive in but enter fee apply or using their ready transport with cheaper price. Do buy the mask before you enter the crater, sulphur level are quite high, you can cough or…",Very popular with locals on the weekends. If you are 'white' plan to get accosted for souvenirs and gifts as soon as you step out of the car. There is a small tourist information centre where guides give you a small briefing on the volcano. Plan on at least one hour drive from…,"Dusun Bambu is a relaxed place outside the town. But what if you come on weekend, it turns like a crowded market. It is better to go on weekdays. I love the birdnest and man-made river streams along until the man-made lake. It is quite relaxing.","Saung udjo is right place for know aobut sundaneese culture. There is performing stage for showing kind of sundaneese show such as angklung, jaipong dance, wayang puppet. This place also sold kind of sundaneese sofenir.","Saung udjo is right place for know aobut sundaneese culture. There is performing stage for showing kind of sundaneese show such as angklung, jaipong dance, wayang puppet. This place also sold kind of sundaneese sofenir.","If you want an area with less traffic , near to a good modern mall , good food availabilty .. and yet good central location with reasonable price  .. this is a highly recommended hotel .. and good for family too.Have been visiting Bandung frequently - this has to be my best hotel choice so far in Bandung -  Will be back here soon .. ","this is my 3rd visit in Aryaduta for staycation, the room clean and big, kids love to swim and play at the kids club, room service are good, we stay for 7night and still enjoy our staycation.good choice for family and strategic location to travel around bandung city","The hotel with luxury touch and great service, fast response. The breakfast variety was quite expand from Indonesian, Japanese, Chinese, Arabian also Western food.  The coffee break and lunch during meeting was representable."
"Entrance fee Rp. 50,000 per person Shuttle Van Rp. 15,000 per person  If choose to take own car up (don't want shuttle van) Rp. 150,000 per car  We went on thursday. While there's bad traffic in Bandung to Ciwidey, I'm unsure if it's normal or if it's because there's a…","Tangkuban Perahu is crowded of tourist. If you want to come here, do not come in holiday because you've got traffic jam!. The weather is cold you must bring a jacket and also you must use mask.","Booked a tent in the camping ground because the villas are booked. I went there with other 5 friends. They said initially the tent is for 2, but could be for 4 persons. Apparently when i went there, it was literally 2 single beds! So, there must be another explanation on the…","This place literally blew my mind. It totally exceeds my expectation. I arrived around 11.30am, their next performance was 1pm so I spent the time in their souvenir shop, which is really fun for me because I can play with different kinds of traditional musical instruments. Since…","This place literally blew my mind. It totally exceeds my expectation. I arrived around 11.30am, their next performance was 1pm so I spent the time in their souvenir shop, which is really fun for me because I can play with different kinds of traditional musical instruments. Since…","I first time stay at Yello hotel. Location near Paskal 23 Mall, center of the city. But the wifi is not good enought from my room. Login is difficult too. About breakfast, I don't know because I was booking room only type","Rooms are spacious, beautiful lobby, average breakfast buffet, however our stay expirience was spoilt by the faulty lift.   15 story hotel, 3 small lifts in total, only 2 was working.   So during breakfast times, we had to wait more than 20 each to go down to the breakfast floor which is ridiculous.","very convenience and luxury hotel. i can do busniness trip also vacation for kids. the most amazing facilities is the pool. all of it has a warm water, my kiddos loved it so much..  Definitely will comeback soon"
"What a beautiful place.  On arrival you purchase your entry ticket and then move to the transport area. From there a orange van will transport you to the entrance of Kawah Putih. It's only a 3 minute walk from the top transport area to the lake, via a walkway.  This was our…",This is worth a look. We went there today 4th of May 2017. Our driver allowed an hour to travel the 30km from our hotel and it was close to that. Please be aware though that on holidays both school and public this can take several times that. Our driver advised that a recent…,"I went there with husband and my family. The place was so relaxing with the nice decoration, small river, view and garden. The kids still can have fun with some game and feeding the animal. And they have strawberry garden. From parking lot up to the restaurant area we take their…",We see the performance was very entertaining love their performance they also sell the angklung at the shop right beside it. Unfortunately not many Indonesian people watch it most of them were foreigner. They also give you Popsicle or mineral water during or before the shows ,We see the performance was very entertaining love their performance they also sell the angklung at the shop right beside it. Unfortunately not many Indonesian people watch it most of them were foreigner. They also give you Popsicle or mineral water during or before the shows ,"Modern hotel, simply but stylish, the property still on good condition, good and fast service from the staff with perfect location at Paskal Hypersquare. One of the biggest mall in Bandung.....very recommended !! Cheerss !! ","This hotel has a good location, spacious rooms, clean & friendly staff. Best choice for family , holiday, also for wedding & convention. Many favourite restaurant, cafe & favourite local food near the hotel",Great location although will need planning to get to airport. Luxurious and clean rooms with great bathroom / shower. Great daily spread and variety for breakfast buffet. Great heated pools for laps and family
"We hired a driver for Ciwidey trip on Tuesday. We started our journey at 7am & traffic was bad as we past through Bandung city. Arrived 3 hours later. Foreigners must pay their entrance fees at a small office before reaching the White Crater, Rp50,000/pax. The staff will tell…","Natural scenery well kept and reasonably clean but dented by :  1) High admission cost for foreigners (IDR300k      per per foreigner. Local only pay IDR30k.  2) Many touts under pretext of assisting you to       take pictures (to be fair, they know the best       spots to take…","Been travelling around west java for 2 days now and was very excited to go to a bamboo sanctuary, but i was really shocked to note that there were very few bamboo plants inside, sure there were some artsy bamboo articrafst/sculpture, but the rest of the place is just like any…","Watching Angklung performance takes 90 minutes. Every part of the show has a new thing to show such as puppet show, Mask dance and even they teach to how to play Angklung. It's an amazing experience to learn playing an instrument made from Bamboo. It's a must visit. The entrance…","Watching Angklung performance takes 90 minutes. Every part of the show has a new thing to show such as puppet show, Mask dance and even they teach to how to play Angklung. It's an amazing experience to learn playing an instrument made from Bamboo. It's a must visit. The entrance…","Good location in the heart of Bandung city,  the room was properly wide space, toilet room clean and nice too. They have a swimming pool and the dining room was okay. This is a good hotel to stay in Bandung ","Room is clean and tidy, there is bathtub which is my daughter favorite's, near to Bandung Indah Plaza and Riau Junction mall. Staffs are friendly and helpful. So far this is one of value for money hotel in Bandung.","Really so so fine classy wonderful hotel however most of the staff they have no good english so you always need the mangers, and let me thank ms nabila she helpd me good. Someone called me from outside they told him no body in this room do you belive that omg. "
We hired a driver to drive us up. Traffic was pretty bad actually. We went on a Sunday hence the crowd. But it was really worth it.   There are merchants selling masks and other things but it's ok if you dont buy. They won't bother you. The sulphuric smell was not that bad but…,"one of the tourist attractions Tangkuban Perahu is a tourist icon of nature in the city, it is very crowded tourist spot visited by tourists who want to enjoy the natural beauty and cool air in Maras","Lembang has massive family gateway facilities, and Dusun Bambu is one of the newest. The place is huge, and having many facilities for both children and teenagers. The main activities you can do there are eating and taking lots of pictures! :) For food and beverage prices, it's…",I cannot quite explain why but I was truly moved when I went to see the performance at SAU. Seeing the little kids practising and enjoying their craft and having a chance at a future away from the streets made me quite emotional. The place took quite a journey to get to but it…,I cannot quite explain why but I was truly moved when I went to see the performance at SAU. Seeing the little kids practising and enjoying their craft and having a chance at a future away from the streets made me quite emotional. The place took quite a journey to get to but it…,"Nicely located above Paskal 23 mall, the hotel is new and clean. Wifi was terribly slow but everything else was fantastic given value for money. Staff was friendly. Parking was challenging and had to ask several attendants to be pointed to the hotel corner.",Room is clean and spacious Food and staff service is good  Direct access to Bandung Indah Plaza  Many good foods around Jalan Merdeka The swimming pool is good with goose float makes the kids very happy,"The hotel is nice, but the reservation team is bad. i used a gift certificate voucher, and the voucher doesn't state anything about prior reservation but i cant stay there because i didn't make reservation first. Different  from last year when i can directly check in, this time they said that the hotel was fully booked. while my business partner can directly booked there using online apps with the same room and the same date. "
"I think this place is not worth visiting for a few reasons. First, the traffic is really bad especially on weekends. It took us 3 hours to go and another 3 hours to get back to Bandung. All along the road were cars and LOTS of motorcycles all on the same, small, country road.So…",300 k for per person just to see the view??  I understand that you need to charge for the entrance but i really think that the amount they charge is absurd!  ,"Dusun Bambu is a nice place to visit, very green, good place for the children, nice weather and relaxing place.   The food at the restaurant was average only, using coupon to buy the food, like Monopoly money.   They provide shuttle from the entrance to the restaurant.  It was a…",We live this place because we really enjoyed the angklung performance by the little children there. They we're very talented and entertaining. We also having a great time while taking part in the angklung performance.   We also can find some food in the restaurant. ,We live this place because we really enjoyed the angklung performance by the little children there. They we're very talented and entertaining. We also having a great time while taking part in the angklung performance.   We also can find some food in the restaurant. ,"Very nice facility (only need to be add gym), friedly staff and  great location..The pool was great,.The smoking area has not  the same area with the pool..Restaurant Staff need more aware with the guests need.","As always, staffs at Aryaduta are friendly and helpful. They managed to put my request for the room and it was ready before I arrived. The room itself is clean and tidy.  Will surely come again to stay there.",I stayed here for three nights  . The hotel is very central  with shopping Mall near buy and many food courts around  the restaurants are good especially the roof top  and the rooms are spacious and clean . 
"Eventhough it seems to take forever to arrive here and that's from Bandung city centre, it was worth it. The view is beautiful. Come in the morning, it's less crowded and when it's not raining, you can actually ""touch"" the sulfur smokes that raising from the active crater. But…","I like the surroundings.. cool fresh air. It will be hot in sunny day, we are lucky to came here in cloudy. The crater already dried. But you can go down a bit to get to crater domas for boiling egg.","I was stay for 1 night actually with 3 others of my friends, we pay about $150 for 1 night (camping ground price). Excellent camping ground and we just stay for 1 night, I recommend if you want to stay in the camping ground dont just 1 day, its not enough to relax :D Cold place…","Saung Udjo is angklung performance, located in padasuka, west of Bandung the capital of West Java. Located in big street of the city, its a place you must see in Bandung. Why this atraction must to see, because the history of the founder, Mr Udjo, whse filling his life to save…","Saung Udjo is angklung performance, located in padasuka, west of Bandung the capital of West Java. Located in big street of the city, its a place you must see in Bandung. Why this atraction must to see, because the history of the founder, Mr Udjo, whse filling his life to save…",I stayed here with my son. It was our mother and son getaway vacation. I didn't expect too much but I was impresses with the hotel. Everything is great! except the hotel needs to improve the internet quality. But overall we are happy with our stay at Yello!,"Best experience ever, warm welcoming from the lobby to the hotel.Room is clean and tidy.Big thanks for surprising my birthday brother at the cafe while we were having breakfast. Thx Andrew Pastry chef","Great service, clean room, complete facility, nice breakfast. The Laundry service was fast and clean. The location is connected with one of the biggest mall and amusement park in Bandung, it's easy to buy anything. "
A must visit place in Bandung. Took us 3 hours to get there but it's quite worth it. The scenery is beautiful. Do remember to bring along a mask as the smell of the sulphur can be over powering. We spent around 30 minutes taking photos. Best to go earlier to avoid the crowd.,"One of the active volcanos Indonesia. Spare more time to spend here in the area. There are long walks along the crater to be discovered. During my visit there are quite a few of souvenir seller who will be following you around, helping you take picture and telling you that they…","I was positively surprised by the quality of the service and experience provided by this resort park. Very peaceful and relaxing place. Highly recommend to stay at their cottage which is very clean, Indonesian style home with Front porch, side porch, living and dining room,…","Was reading great reviews about this place, but nothing beats being there itself.  It was a great cultural experience,with 7 or so performances.  For the price and experience that you pay, it is worth it for my family of 8.  We enjoyed the Angklung Interactive very much where we…","Was reading great reviews about this place, but nothing beats being there itself.  It was a great cultural experience,with 7 or so performances.  For the price and experience that you pay, it is worth it for my family of 8.  We enjoyed the Angklung Interactive very much where we…","The room was good, great location above the 23 Paskall Shopping Mall.The only bad thing is their WiFi Connectivity. It's very very bad. Very hard to even connect to the wifi, once connected, it even doesn't work (can't use for browsing) and disconnect many times.",Great place to visit.. good food for breakfast.. near mall bip to buy anything you need.. great services from hotel crew etc .. we are very happy to stay here and we hope we can return to Bandung again and stay at the hotel aryaduta,"3 words: Perfect, perfect and perfect! 100% quality at the stay for whom ekspect the best! We so Happy to have been here! The staff completly motivated to help at any point to make our stay comfortable!"
"It's such a beautiful place to go in Bandung. Too bad I choose the wrong time when I came there. It's rainy season. It's raining, the view wasn't really clear because it's foggy, and after few moments it's getting worse and worse... I even can't see the crater at all because of…","People often think that Tangkuban Parahu was only Kawah Ratu, the most popular site to take picture. Kawah Domas is located before Kawah Ratu, lower area. It took about 45 minutes walking to reach Kawah Domas from the gate. Worthed enough ! you can boil eggs (selled on site),…","Located in Lembang Bandung, about 500m from Kolonel Masturi street, park your car in the parking lot, and we have to use their transportation mode ('Angkot'), we paid in the front desk and queue for the 'angkot' to get to the Dusun Bambu reception, or you can also walk thru the…","lovely performance with friendly people, and the best part is when you play angklung with audience and performer.","lovely performance with friendly people, and the best part is when you play angklung with audience and performer.","Service, Facilities, Breakfast, Room, Location, Access, Mall, Entertainment, Ambiance, Fun with friend or together with family all is in one package of experience when we stayed at Yello Hotel Paskal Bandung",Friendly staff that always smiles. Hotel do need some reburfishing but I shall stay here again and again. Located very near to downtown and only 10mins to train station and 30 mins to airport. Breakfast has many choices,"very good location with nice city view, staffs were very much friendly. Cozy room with a lot of amenities and facilities. Very good and sumptuous Breakfast   with variety of  food items. Swimming pool is al so very good"
This was the highlight of our trip in Bandung despite the long drive to and fro. We were only at the crater for 15min because that was the time frame our driver recommended us but you can definitely stay as long as u want. The smell wasn't as bad as expected. It's very cooling…,"I think, the view is fantastic, it nice to see the crater (only) with steps to climb (yeah i can get the same thing on other volcanic mountain). But here's the thing.... Entrance fee 30k for local and for foreigner is 10 times  more??? (300k) WHAT A RIPOFF... it's totally…",We were forced to be here because of my 13 y.o daughter craving for a beautiful spot to take a picture! Hahaha.. And she is right. The view and ambiance are great! Still got a fresh air even though it was crowded over the weekend. My lil son played at the Rabbit house with all…,"The place is kampoeng feel, and like a small hall, but the performance is awesome.  To play one music by the single tone instrument by many people pleasing your ear and very unique.  You can try to play in a group to play angklung too coordinating by sign language.   You have…","The place is kampoeng feel, and like a small hall, but the performance is awesome.  To play one music by the single tone instrument by many people pleasing your ear and very unique.  You can try to play in a group to play angklung too coordinating by sign language.   You have…","The hotel is good location and provide for game are it's verry nice, and i got room view dago hills. We arrived at 1pm my room isn't ready but, the verry good service by the ADI Front office. His verry helping us.","Room are great and spacious. Breakfast are marvelous . Location are great, exactly behind is Bandung Indah Plaza. Restaurants are nearby hotel. The reservation is fast and easy. The pool is great .  Surely will return to Aryaduta Bandung","Trans hotel in Bandung is always my choice when I have meeting in this town. The internet speed helps me a lot when I need to login to my laptop for some business works. Also the pool, love it so much.  During vacations, I also bring my family to stay at this hotel, my kids love the beach pool and the sliding pool, so its like a one stop stay, you can make your kids happy with the pools without going anywhere. Enjoy the hotel so much."
"- you could drive and park your car at the top, but u must pay Rp 150k and get charge of Rp 20k/person, but that's no problem - i'd recommend going there on morning and sunny days. It's not too crowded in the morning, and you could see the view clearly—wi",Make sure that you eat before go here. And bring mask! I vomit when arrive here  The smell is not good LOL. Besides that  the view is awesome. Wish could be here long but the weather was too hot to stay <U+0001F602>,"This place is relatively close from my house. Located 9 km from setiabudhi street, With a ticket around 10-20 thousand per person, you can see some views like rice paddies, lake and  tree house. For those who loves culinary, you can try some foods from burangrang resto. The…","Ok, this attraction is mostly for tourists. YET, I loved it. It is a fantastic place to learn a bit more about the varied cultures and traditions of Indonesia, and the show is simply fantastic and a lot of fun. I highly recommend it!","Ok, this attraction is mostly for tourists. YET, I loved it. It is a fantastic place to learn a bit more about the varied cultures and traditions of Indonesia, and the show is simply fantastic and a lot of fun. I highly recommend it!","Hotel facilities are quite complete. Close to the mall, near business office areas, near shopping area, close to shops that sell spare parts, technical tools, and various other needs, near hospital and drugstore.","Kami tinggal di deluxe room, which is very big and comfortable for family, there is no refrigerator but as we don't need it so i don't mind, cek in until cek out everything was great, will back again soon","every holiday to bandung certainly the hotel we are headed is the trans luxury hotel, especially for our daughter. the hotel provides excellent service and facilities, from start arrival service, in-room facilities, swimming pool, full breakfast, we felt very good satisfaction"
"We went there on a rainy day and it was a really unique experience - the extra mist gave the lake a really nice and moody atmosphere and we got to experience actual winter-like, hand-numbing single-digit temperatures (10 degrees and lower) in Southeast Asia. It was a nice…",Ratu Crater is the Main Crater and located about 20km north of the City of Bandung.  A beautiful place where you can take pictures of nature.,I really like the ambience of this place. The food was good and the seats made you feel like sleeping. The prices was quite exy for the food though. After lunch we went to try out the ATV and the shooting ground. It was fun!!! ,It features the 9 out of 32 provinces dances in a short 1hr 45min performance. I love the part where the audience engages in the angklung shaking mass performance ,It features the 9 out of 32 provinces dances in a short 1hr 45min performance. I love the part where the audience engages in the angklung shaking mass performance ,"The location of the hotel in the Paskal Hyper Square area, one building with Mall 23 Paskal. The location is very strategic. If you want to eat really easily, you can be inside the mall, you can go to the back market mall or around Jl. Pasirkaliki. Uniquely to get to the lobby, you have to use a special elevator from the side of Cai Lobby Mall 23 Paskal and go up to the 4th floor. The check-in process is fast, the receptionist named ADI serves very well and helps the check-in process. Good job, Adi! On the 4th floor besides receptionist, there is a dining room as well as a breakfast place, children's play area, swimming pool. Because I ordered a smoking room, I got a room on the top floor. It's a bit shocked because the room door isn't equipped with a bell, so there are those…",We stayed in Aryaduta Bandung for 1 night during our Idul Fitri travel back to Jakarta from Central Java. Everything was great and our family feels very happy to stayed there and also happy to come back again.,It was my first time to stay here. I stayed three nights for a business purpose. The staff was courteous and always smile. The room has always clean and neat. The food and beverages quality in the breakfast time either in the 3rd floor or in the 18th floor was fantastic. So a good property for me to stay.
"The white crater is the best view of all bandung ,it is even better than tangkuban perahu which the entrance fees is very expensive for a foreigner like me. even though the journey is longer than to tangkuban perahu it is worth the trip once you see the white crater. alonfg the…","First of all, the ticket price is outrageous, and they multiply it by 5 for foreigners. So make sure you bring some money in your pocket. And also, be careful if you buy something (other than ready-to-eat food) there as they can't be trusted. I bought a pack of strawberries only…","I really enjoyed my visit to this place, even though it was raining really hard, too bad due to heavy rains i could not explore the compound. The setting is really beautiful, breath taking view and fresh cool weather. Food wise of the formal restaurant is ok, would like to visit…",One of Sundanese musical instrument and ensemble which must be preserved. Very well preserved. together with Sundanese Culinary. Must visit.,One of Sundanese musical instrument and ensemble which must be preserved. Very well preserved. together with Sundanese Culinary. Must visit.,Hospitality of this particular YELLO Hotel in Bandung is GOOD. Basic amenities is well given adn taken care off.Would highyly recomended to others based on location and cleanliness. More to improve esp in  wifi services esk speed and easier connectivity.Overall Iam satisfied.,"Our 2 nights visit was great, we requested early check-in and the room was ready upon our arrival around 12 pm, therefore the check-in process is fast, but the concierge didnt showed up or asked us if we need some assistance to take our belongings during the check in process, nonetheless thats not a big deal for us since we only took 2 small lugage.  The room was spacious and very clean as well as the furniture still in good shape. We also got the 15 floor which was the Aryaduta Club Floor, and also we have visited the club lounge and the hospitality from the club lounge staff was really impressive.  The pool, garden, kid's club, and other facilities also great and well maintained.  The breakfast wae great also, with many selection of food along with the fast serving of the…","Thank you for everything, I like indonesia and indonesia people very much. Your hotel and the worker are very good, service and other facilities are satisfactory. If I can come to indonesia again I will probably choice your hotel again and recommend it to every people that I know. See you again"
This is a commercial place. Really it's not worthwhile to visit. Costing much time to arrive and in five minutes you have seen everything. ,"We didn't mind being charged almost 10 times more than the locals. But at 200,000 IDR (weekdays) per person excluding the charge for the car, we were expecting more than a tri-fold pamphlet and a view of the crater. How about using that extra money to erect more signs with…",The ground was clean and cold as it is located on lembang area. The kids playground was ok but not big enough. We visited this place during weekday with less crowd. I think if its on weekend it may not be so peaceful,"went to saung angklung to show the kids and their cousins abt the javanese musical instrument. The kids were amazed to see kids their age did the performing, and helped around with distributing the angklung and teaching the how to shake it. In the end of the performance, the…","went to saung angklung to show the kids and their cousins abt the javanese musical instrument. The kids were amazed to see kids their age did the performing, and helped around with distributing the angklung and teaching the how to shake it. In the end of the performance, the…","Everything about this hotel is perfect. Location, facility, everything. If I have to change/ improve something about this hotel, I would provide portable hairdryer for every room, and if I have some spare space, I would build an gym access.","Room, food and service are awesome, very close to mall BIP,the lobby is just connected to the mall, you can find everthing you need there ,its very easy living,closed to tourist destination such as jalan Braga,  will high recommend to others","You need to be here for some reasons, business, leisure or both of them. A mosque is in front of the hotel, A mall is beside the hotel, and an amusement park is at the right side. The hotel is recommended."
Gorgeous and stunning attraction...very cooling and chilling when u are there..make sure u take lots of pictures while u r there.. ,"Well, if you never saw a volcano crater it might be a must see. If it is not your first volcano then it is nothing special. Admission was 255000 Rented car with driver 500000 There are also jungle walks you can make In my view the attraction is overestimated  In general you are…","the ride to the attraction was very interesting. we were being fetched on this ""tram"" and it brought us to the main area where there was food and other attractions. I did not spend much time at the attractions as they were very far away from the main area. but overall the place…","If you love musical or theatre performance. It will WOW you guys, its engaging for anyone. Local people and international tourist.   If you dont like to watch this kind. You will like them too. It wont be boring at all.   You will learn how to play angklung there!  Its show…","If you love musical or theatre performance. It will WOW you guys, its engaging for anyone. Local people and international tourist.   If you dont like to watch this kind. You will like them too. It wont be boring at all.   You will learn how to play angklung there!  Its show…","Overall it was a fun experience staying at the hotel, nice rooms, theres aagaming station, lots of instagramable spots, great location especially because I like shopping at 23 Paskal.. definitely coming back if I must travel to Bandung again",We stayed here for a night and it was wonderful. The room so big and the staff very helpful and polite.  Only we can not find the lift to parking lot so we have to carry our bags with stair (1 level)  Over all we love this Hotel and surely will come again in our next trip to Bandung.,"I stayed in Trans hotel for a conference. The room is spacious and bright. The amenities are great. The location is next to the mall and trans studio. The breakfast is alright. I also got benefit to access the premier club in 18th floor, where i can have a dinner and ala carte breakfast. The conference rooms and ballrom is spacious too. comfortable! Staying in Trans worths every rupiah, imho."
"It took long time to arrive here, most important thing is you can get easily arrive here if you used your own vehicle/rent. Nice place, nice view. I suggest you to bring or buy masker first before come here, because if you buy masker here, its so so expensive, and dont forget to…",Visiting Bandung brought us to the idea to visit Tangkuban Perahu.   We went there by Ubertaxi which was quite nice and relaxing. Before we went there I found prices to visit TP from around 50.000 Rp. When we arrived at the main road of Volcano we were stopped at the entrance.…,I visited dusun bambu with my grandparents and parents. We all enjoyed the beautiful scenery and ambience. There were also activities for children - we could paddle through the stream and also play/race on motor vehicles. There were also places to eat - we could eat in a 'birds'…,This was my first visit and I will definitely be back. My aunties from Holland actually took me there; they live in Holland and they had been to Saung Anklung Udjo five times before!! So I was very curious about the show...  I loved every bit of it!! The MC used both bahasa…,This was my first visit and I will definitely be back. My aunties from Holland actually took me there; they live in Holland and they had been to Saung Anklung Udjo five times before!! So I was very curious about the show...  I loved every bit of it!! The MC used both bahasa…,the location is good right above a shopping mall.. the hotel is relatively new so everything is still clean and tidy.. good value for money too..the only downside is only there is no special parking space for hotel guest (first come first get parking lot).,"Hi,  First time experiencing Aryadutta. We had hope to be served well and staff readiness. But what we got was very late room readiness. We just got our room at 4PM :( we had our reservation long time before we arrived.   Overall staffs were nice enough to us, responding well to our demands, and what is best for this hotel is its location at the heart of Bandung city","I was impressed by the services provided by the hotel. The staff is very helpful, respectful and friendly. They have a large variety of food. The room is spacious and they clean it twice a day. As well, they leave cookies, fruits and water in the room. All in all, I had a great stay in this hotel. "
