Besakih,Sacred,Kuta,Mount,Aling,Grandmas,Amnaya,Radisson
"Standing inspite of the volcano, in original form. Walk around and take in the architecture. Do not believe the stories about harassment by locals - we had a good guide, who accepted what we gave. Tickets allow you a free guide. Will take 2 hours to go around.",We really enjoyed the sanctuary; the monkeys are rally taken good care and love in freedom; yo can see them in their natural Habitat. It is a large property so we really enjoyed walking and learning about the monkeys behaviors. They even have their own cemetery and one thing…,Seem to read a lot about the state of this  beach. I do accept that during rainy season it's a little different but at this time of year the beach was spotless. Absolutely NO rubbish whatsoever. Beautiful to walk along to Seminyak. Interestingly it is at Seminyak where we…, We are fit and experienced hikers in our early sixties but still found this climb quite challenging and the toughest we've done. It's a short hike in terms of time of around two hours but the steepness and the extremely rocky surface makes it quite a challenge. Almost the…,,its a good budget hotel with all the basic amenities. Breakfast is good. Day staff was  more helpful than the night staff. Spa is good and very much affordable. And you also get discounts at nearby hotels. they provude complimentary bicycle also,"Very nice hotel, on good location, nice breakfast. Checkin was a bit problem, but the service after that was excellent. Most of the staff are very polite and always try to make the best. Breakfast was included our roomrate, its really big and fresh.  Will come back again ! ","Best value for money ever experienced, perfect hotel for relaxation on Bali. Quite good location in Uluwatu with great nearby restaurants if you dont want to have dinner at the hotel every night. Staff was very kind and truly wanted us to enjoy our honeymoon."
"Besakih is the biggest and holiest of the island's temples and is surrounded by breathtaking and scenic rice paddies, hills, mountains, streams, and more. I recommend you all to visit this temple if you go to Bali. //Mats Samaras, Stockholm, Sweden ","To walk around the forest and see little monkeys frolicking around, not in cages and free to do what they want, it’s definitely a must do in Bali. The coffee shop is also a must have at the end. ","The street hawkers and stall holders are a lot more pushy in Kuta than close by Legian, and in Seminyak they are even more laid back. Kuta seems to have lots of tourists that are your quintessential bogans. Too loud, too large, too rude. Kuta is okay for a drop by, but I…","Had lunch at a restaurant & then walked up to get the views, had a local guide so fairly easy. Good views although it was a bit hazy.",,"I've just spent 2 nights here, although the rooms are small they are adequate for 1 person would not like to squeeze 2 people in. The air con was leaking when I arrived and this was promptly sorted. My reason for only leaving 3 stars is on my checking out I requested an Uber to take me to the airport. When my Uber arrived another taxi driver sent him away. Regardless of the Taxi Mafia in place in Bali if I want to use Uber I will and will not have anyone dictate to me what I can and cannot do. The security outside did nothing until I made him get involved. As the hotel security customers should be of priority not taxi drivers who want to rip off tourists. ","I have lived in Bali for a while and visited various hotels and resorts, and Amnaya is far beyond any place that I have stayed here, or even anywhere else.  The hotel is beautfully designed, the rooms are immaculately clean, the staff are extremely courteous and helpful, the included breakfast is the best that I have ever had at a hotel, and the value for money is incredible. On top of that they upgraded our room for free. This truly is the best place I think I have ever stayed at.  It is usually not too difficult to find flaws in hotel in Bali. My partner has a keen eye for dirt and an even keener nose for damp and other smells, and this is the first place we've ever stayed that is truly flawless. I take my hat off to the staff and management here for keeping the place so beautiful and clean.  I am never motivated to write review for hotels, but Amnaya Benoa is just so good that I felt compelled to. I look forward to visiting here again!…","Love our time here  Wonderful  friendly staff  I wouldn't rate Artichoke restaurant but everything else was superb. Definitely go to the Italian restaurant, every dish was magnificent. We will definitely be back. "
"The temple is definitely not worth a visit. The temples and structures dotting the place are pretty ordinary. All of them can only be viewed or seen from ""outside"" or from a distance. There are a few which can be accessed if one wants to perform prayers in it, which comes with…",Having been to the monkey forest approx 5 years ago it seems to have lost some of its authenticity and become more commercialized. It’s still a fun place to visit though. Go early to avoid the crowds! ,The sunset was the best thing to wait for in this beach. The locals were far more adamant on making a sale compared the people in Ubud and other quiet places in Bali.  Is disappointing that renting “seats” amounted to plastic lawn chairs and not actual beach/lounge chairs. At…,"Did the sunrise trek, left Ubud at 1.30 am, breakfast about 1 hour later with lot of other trekkers, about 45 mins later we met our guide at Mt Batur who was excellent we were given a flashlight to start our 2 hour trek. Walk starts of easy, then it's all up on a loose rock…",,"Grandmas Plus Legian is fairly large and a strategic path at an affordable price, making this hotel worthy of consideration. The hospitality of all employees becomes a PLUS value.  But, the room size is small, and the bed is not too comfortable.  Unusual windows can only be used for air circulation and sunlight without being able to see the scenery.  The door of elevator too quickly, it make shut me up twice.  Water Tag packaging 1500ml was paid. and front desk staff did not provide room rules information properly.  However, the hotel has a friendly and helpful staff. It makes me comfortable.","From  all the hotels in Bali that was the newest. ( I stayed january 2020). It is on budged. The breakfast was a la carte, good choices. coffee was good too which in Bali for European people is difficult to find  nice coffee. I used thw app Grab for food delivery as i wanted to eat at my hotel pizza etc. (Indonesian food wasnt my taste).","Staff very friendly, place very clean. Excellent short experience overall. The only downside was probably the amount of steps to go to the local impossible beach, and then find it very small, and not very clean. The hotel offers a shuttle to another beach, which I didn't have a chance to see, so don't know if that's better "
"it is a shame as it looks like a nice temple and really as a religious place should be treated with more respect by the locals than somewhere to just scam people. I don't even know where to start with the place, the price anyway even if you just end up paying that is 4 times the…","Must visit place! As long as you follow the rules you will be fine. There are many staff around every corner and feeding is very constant. The monkeys are very active and are all around!  NOTE: Don't bring food into the sanctuary, the monkeys will literally open your bag and…","Very nice, sandy beach in Kuta, Bali. Liked it very much. sand is nice and generally clean. Good place for surfing, swimming, etc. activities.  Liked everything. No dislikes.",Mt. Batur trekking is a great alternative activity to chilling by the beach and it also help burning off the extra calories on indulging on delicious Balinese food and gelato. The hike was between easy to medium (we took the “tougher & steeper” route yet quieter as recommended…,,"booked it online cause 30 min before I checked in rooms I stayed in was small but everything I wanted was in there.  price wise great choice and clean amenities were eco-friendly but the towel was old. staff! didnt see much of them. location wise: near to Kuta beach and from there to the airport was only 20 mins in cost IDR 65,000 on blue taxi meter it didn't reach more. best part: complimentary bicycles for hotel guest, free internet.  would recommend for budget friendly travellers","Only just opened when we stayed - working hard to impress. Staff wonderful, rooms luxurious and food off the scale - best breakfast I’ve ever eaten with not a grid egg in sight! Utter bliss in the spa suite - choice of massage treatments with choice of oils and choice of teas. Probably best hotel in my experience and unbelievably cheap - though I think this will change. Beach not as lovely as Sanur. Busier than Sanur and more commercialised.","Stayed here over Nyepi because it was a dog-friendly hotel. Everyone was so nice to my high maintenance toy dog. The staff are exceptional and were quick to attend to our request to move rooms so we can be closer to the smoking area. I was surprised to find out that we were not allowed to smoke in the open space balconies in the room, we can only smoke in the designated smoking area which was down near the pool or in the parking lot. Food was a hit and miss but I think this was due to Nyepi where maybe most of the f&b team are on public holiday.  Everything else was perfect for us, but I dont think I will be returning due to the inconvenience of having to go down to the smoking area."
"Pura Besakih, Bali’s Mother Temple has a commanding view on the slopes of Mt Agung, almost 1,000 metres up the volcano, it is the largest temple in Bali.  There seems to be no conclusive date of when it was built, however it is first mentioned in an inscription from 1007.  It is…",80k entrance fee was well worth paying. Lots of monkeys walking around and enjoyable natural scenery within the centre of Ubud. Shame about the litter everywhere though. ,Amazing sunset and nice to walk or swim. There are many people selling many things but it was okay. There is little parking for cars,we'd a lunch with a view of the mount. I really enjoyed the view though the lunch was so so. If u'r not a trekking person must visit this place to have lunch with the view. you'll really enjoy this.,,"It was hard to fault GrandMas on their hotel. It was everything you would expect from a budget hotel, except it had amazing customer service and even better breakfast (make sure you get that included!!) The only down side was that the shower looked as though no one had cleaned the screen of walls in 6 months and the bed moved very easily off the wall. it is literally on the busiest street in Legian and anything and everything you could possibly want or need is right at your door step. its about a 10 min walk to the Kuta nightlife scene and shopping is possibly easier than breathing from here.","This was the best hotel we stayed at in Bali, based on quality that exceeded the price, warm homelike atmosphere and facilities to satisfy any healing needs.  Everything is so well thought: every table at the cozy reading corner, the peaceful restaurant where you can enjoy the breeze & study in the afternoon, the beautiful yoga nest where you can stretch & unwind at sunset, BEAUTIFUL tanning place at the pool and perfectly blended colours & Balinese architecture that caress your eye, and the true, genuine hospitality! Oh and comfortable bedding. The intuitive service where you get the lights on right when you can't read anymore because of the dawn, without asking anyone. We haven't met the person who created this property, but we could feel he/she is an amazing person, the feeling you get by living there is incredible. Heartfelt Thank you to the entire team of Amnaya both who we met and who are on the backstage, a few to name: Ceri, Yulius, Ilun, Gisin, Arik, Eka, Adi<U+2764><U+FE0F>, Yande, Gilang, Wijaya, Sri, Yudi, Rigan, Agus, all the amazing public area attendants who sweep the flowers in the garden and of-course the White Pus. <U+0001F90D>    We hope to come back to that amazing heartwarming place! THANK YOU. Maria…","Amazing hotel, great location, fantastic service at an affordable price. Would highly recommend this property when in Uluwatu.  The rooms are stunning, definitely book a panaramic view room.  The staff are very well trained and the pool is stunning. "
"During our previous holiday in Bali 2 years ago, my wife and I had visited many temples in Bali, but we did not visit this place due to distance and location. So, we decided to book a private Day Tour to visit this place among other places, as it is called ""The Mother Temple"" by…","This was much better than expected after reading so many horror stories! We followed the rules and the monkeys kept to themselves. The grounds were well looked after and the temples beautiful. I'd reccomend for anyone wanting some beautiful scenery, relief from the hot sun or…",Best beach to learn how to surf and see the sunset and enjoy some cold beer. The sand is soft and clean. Great time,did this trip in the late afternoon...take something warm as the temperature drops dramatically from about 3pm and can get quite cold..complete contrast temperature from sea level...enjoyable viewing...hawkers up here are persistent and can become a nuisance as they will not…,,"Very accomodating with friendly n ready to smile staff<U+0001F917>. Although it was a small room,  Its have everything basic things we needs. The room n toilet are very well maintain n clean. The Spa located at the 5th floor is affordable and vey good. Just  5mins walk down to the beach. Nearby shopping belt n minimart.  Well done to the staff of Grandmas Plus Hotel. <U+0001F44F><U+0001F44F><U+0001F44F>","Very nice hotel, on good location, nice breakfast. Checkin was a bit problem, but the service after that was excellent. Most of the staff are very polite and always try to make the best. Breakfast was included our roomrate, its really big and fresh.  Will come back again ! ","We (2 adults, 1 child 13) stood for 3 nights only. The hotel is quite new with a modern style (Radisson like).  + complete annementies, large bedroom with balcony, large bathroom, excellent breakfast   - Food overpriced, no direct access to the beach, pool only 1.25m deep"
It's quite a big temple spread huge area. It claims to have small temples of each god. The views are quite beautiful and picturesque. The downside are local guides and temple entrance fee. they charged quite a fees for the entrance and local tour guide. The local guide also…,"We expected to see a few monkeys but gees, I think we would have seen around 100+ on our stroll through the park. Babies, families, pack leaders and Mums.  They just go about their own business, although one took issue with my partner’s orange shorts. See pic. The minute he…",When I visited in the morning the vast expanse of sea seen .aeroplanes taking off as airport is close by.  Many canoe and motor boats were parked on beach. Good facilities for variety food .fruits and tender coconuts.the sound of the sea waves and cool and calm atmosphere in…,"My wife and I got up at 1am to experience the Mt Batur volcano at sunrise.   The trip from Seminyak took a couple of hours and can not be avoided.  There were lots of people doing the walk. We arrived at the car park, met our guide and off we went.   There are lots of opionions…",,"The location is really strategic and easy to found when i used online taxi. The room is clean and comfort for stay. I stayed here for 7 days, and i almost tried all breakfast menu, and my favorite menu is Energizer.","I have lived in Bali for a while and visited various hotels and resorts, and Amnaya is far beyond any place that I have stayed here, or even anywhere else.  The hotel is beautfully designed, the rooms are immaculately clean, the staff are extremely courteous and helpful, the included breakfast is the best that I have ever had at a hotel, and the value for money is incredible. On top of that they upgraded our room for free. This truly is the best place I think I have ever stayed at.  It is usually not too difficult to find flaws in hotel in Bali. My partner has a keen eye for dirt and an even keener nose for damp and other smells, and this is the first place we've ever stayed that is truly flawless. I take my hat off to the staff and management here for keeping the place so beautiful and clean.  I am never motivated to write review for hotels, but Amnaya Benoa is just so good that I felt compelled to. I look forward to visiting here again!…","Fantastic new hotel with huge and spacious rooms and bathrooms. All the comfort from a modern hotel in the southern part of lovely Bali. The beds are incredibily comfortable, the linen super soft and the pillows very fluffy. New hotel with all the necessary, a great Spa and a convenient gym. The pool is super nice! The service was top and the food in Filini (Italian) and the breakfast at Artichoke were top! I will be back for sure!"
"The temple was beautiful but be aware of the rude local guides there. The grounds are incredible, please go with your own guide so you do not get into trouble when you arrive there. This temple is a grand complex of clan temples and shrines located in the high altitude of the…",Must visit in Bali and kids will enjoy here to the fullest. We visited here again after four years and was definitely more crowded than our last visit.   Do keep any of your food item inside and no small item out of your bag. I had a green dettol sanitizer bottle hanging from my…,"This is a must see place.  The sunset is very beautiful.  Be mindful that if you don't see a beautiful sunset, sometimes it is due to low and thick clouds.  Try another day.  Have a beer and they will provide you a chair to sit and enjoy the sunset.",It’s an active volcano that doesn’t feel active As there is nothing active about it no ash or smoke. Without it it’s just a small mountain although didn’t do the trek as was with my toddler but the view was good from the restaurants opposite to the mountain but not breathtaking.…,,"I'm staying in Grandmas hotel Plus Legian for 3 days and it was very nice! I like my room a lot - small, but you have everything what you need :) And clean! The best location - close to restaurants, shops, bars and very nice beach in Legian.","From  all the hotels in Bali that was the newest. ( I stayed january 2020). It is on budged. The breakfast was a la carte, good choices. coffee was good too which in Bali for European people is difficult to find  nice coffee. I used thw app Grab for food delivery as i wanted to eat at my hotel pizza etc. (Indonesian food wasnt my taste).","Faboulous hotel, great pool, private impossibles beach, amazing food breakfast west and indonesian, wine and coktails, service and staff outstanding. 5 minutes shuttle bus to padang padang.  Couldnt have asked for a better holiday."
"The Mother's Temple complex actually has many temples, some large public temples, some smaller family temples. It is worth taking a guide and asking to see as much as possible. The whole complex is well kept and the only drawback are the souvenir sellers. Worth a visit to feel…","I cannot recommend this highly enough! Peaceful forest and canyon setting with easy paths and excellent views. As if that wasn't enough...MONKEYS!!! They are everywhere, roaming around freely. This is a sanctuary for them and they clearly own the place. What's yours will rapidly…","We went for early morning runs up and down the beach, which was nice.  Sand is relatively clean.  It is a bit crowded during the day, but not overbearing.  All in all nice beach. ","I can't recommended this guy for your Batur trip, he is on W/a +6281337443553! We did hike to Mount Batur last week, without him I can't made the top in time! Wajib just amazing guy, he helped us from half way till to the top, he also support us to made the top before 6, finally…",,"Best welcoming staff i experienced so far, room is simple but clean and cozy, would love to come back <U+0001F600> highly recommended for european as it's fulfil the european standard <U+0001F44D> not to mention the location is perfect for the first traveller, sorrounded by shops and restaurant, do try the italian resto at the corner of the hotel <U+0001F44D><U+0001F44C>","Only just opened when we stayed - working hard to impress. Staff wonderful, rooms luxurious and food off the scale - best breakfast I’ve ever eaten with not a grid egg in sight! Utter bliss in the spa suite - choice of massage treatments with choice of oils and choice of teas. Probably best hotel in my experience and unbelievably cheap - though I think this will change. Beach not as lovely as Sanur. Busier than Sanur and more commercialised.","We have just stayed at the Raddison Blu, Uluwatu for a week.   It was an entirely faultless experience: 1. The facilities and building were beautifully designed and impeccably maintained to the highest standard. 2. The staff were trained to an international standard: unobtrusive, extraordinarily helpful and kind. 3. Our young son has significant food allergies - all kitchen staff and restaurant staff had been briefed before our arrival and were able to advise us at all times which foods were safe. I cannot stress enough what a significant difference this made to our holiday experience. This information was shared across all shifts. 4. Our room was stunning. Modern, clean, well designed and a pleasure to spend time in. The staff converted the sofa into a perfect toddler bed for…"
This temple is a must see. It is not only very big but has a very important story for Bali.  We went with our own guide and it was perfect. But if you go alone it will be difficult with all the 'local' guides that want your money. The sellers are also very pushy. It is the only…,"Amazing scenery and the monkeys are ace to watch, nice path to walk along and you can go in the the forest more however a few steps, monkeys do take things from your bag so keep them closed but other wise they don’t really both you, would recommend to go as it’s just beautiful…",Amazing view at sunset. Good place to have a couple of beers and relax before dinner. The beach does get incredibly busy around 5/6 ish before the sun fully goes down.,"I hiked Mount Batur with couple of friends, we started at 3.30 am to hike and reached the summit at 5.30 just few minutes before the sunrise. The hike is very easy. Would go back for sure!",,"the rooms are clean, quiet, good staff ever helpful. will be staying here each time we visit Bali  Whilst there is no pool or recreation area, we do not require this as we are an older couple and go to Bali for the shopping and the trips, where you can be collected each day from your Hotel and brought back later at a very reasonable cost. Most of what we need is in a block radius of the Hotel so walking to where we want to go is our preference.","This was the best hotel we stayed at in Bali, based on quality that exceeded the price, warm homelike atmosphere and facilities to satisfy any healing needs.  Everything is so well thought: every table at the cozy reading corner, the peaceful restaurant where you can enjoy the breeze & study in the afternoon, the beautiful yoga nest where you can stretch & unwind at sunset, BEAUTIFUL tanning place at the pool and perfectly blended colours & Balinese architecture that caress your eye, and the true, genuine hospitality! Oh and comfortable bedding. The intuitive service where you get the lights on right when you can't read anymore because of the dawn, without asking anyone. We haven't met the person who created this property, but we could feel he/she is an amazing person, the feeling you get by living there is incredible. Heartfelt Thank you to the entire team of Amnaya both who we met and who are on the backstage, a few to name: Ceri, Yulius, Ilun, Gisin, Arik, Eka, Adi<U+2764><U+FE0F>, Yande, Gilang, Wijaya, Sri, Yudi, Rigan, Agus, all the amazing public area attendants who sweep the flowers in the garden and of-course the White Pus. <U+0001F90D>    We hope to come back to that amazing heartwarming place! THANK YOU. Maria…","Our holiday was a wonderful experience the hotel is new, clean and very well designed.  But the real bonus was the quality of the staff - they are brilliant! They managed our needs with three small children and five adults effortlessly.  Nothing was a problem they went out of their way to ensure our holiday was a memorable experience.  The head of food and beverage booked restaurants for us when were were struggling to get a booking and recommended restaurants in Europe for our upcoming trip. It is clear the fine leadership provided by the senior staff has had a major influence on all staff. They truly understand customer service.  We will be back!"
"This complex of Hindu temple is beautiful and huge, climbing many stairs to go up there. Go with a guide so you are not get troubled when you arrive there. Everywhere you look from the top is beautiful. Heaven! We were both very enjoyable.","Great place to spent day. But please don't feed monkeys, they can go crazy about food, otherwise very funny you can have laugh ","Great spot for a walk long the beach or just chill, have a Bintang & watch the Sunset. It gets packed & locals are selling stuff or even get a massage. ","Get up there early for spectacular view of Sunrise. Pretty easy hike and recommended for beginners. Start around 03.30 am in the morning and do it during dry season (August - October).  Bring proper running shoes and the last 100 meters to the top is a bit sandy, cover your face…",,"We stayed in the hotel for a couple of nights, we surely recommended. Cheap price for what you get. We booked our room through Internet and it was very easy.... Great Internet quality and great service ","Very nice hotel, on good location, nice breakfast. Checkin was a bit problem, but the service after that was excellent. Most of the staff are very polite and always try to make the best. Breakfast was included our roomrate, its really big and fresh.  Will come back again ! ","This resort is next level luxury. The pools, the bar, the rooms, the restaurant - all amazing!  The breakfast was great, had everything you could imagine and chefs to cook eggs to your liking.  Kids room was pretty basic. Beauty spa and masseuse were great but a bit pricey as to be expected at a resort. The hotel have a complimentary bus to the monkey temples and the beach daily. Just be careful though they didn’t have enough seats for all the passengers on pick up and there was an argument about seating on the way back. Taxis in the area are very expensive, try negotiating with them. Other Spas and food are within reasonable walking distance.  Staff were all lovely and accommodating and could speak English quiet well."
"2 hrs away from the city, it is a peaceful place. We are allowed to pray with flower or canang(?) that we bought from seller down the street. We must politely decine the local guide love to see the crowd and enthusiasm of the balinese hindus people when the great ceremony come.…",Definitely worth a trip. Kids loved it. Couple of hours walking round depending how long you stop to watch the monkey's up to no good. ,"Very busy beach that’s usually pretty packed by mid morning. Gets cleaned up overnight so it’s a good spot, great for swimming and learning to surf. Near a lot of the big touristy hotels.","The view of the volcanoes around Mount Batur in Kintamani, Bali, Indonesia was awesome. I and my family members loved it. I went with my mother, wife and 2 sons. The place from where the lava did flow had become barren. The volcanoes are dormant now. But the wind around the…",,I stayed here 4 separate occasions.   The rooms were always clean and tidy. Comfy bed. Excellent shower but small bathroom.  Have the refridge and deposit box.Strong wifi.  I recommend this hotel if you had plan to go around Kuta and Legian.   Great location and I will come back someday.,"I have lived in Bali for a while and visited various hotels and resorts, and Amnaya is far beyond any place that I have stayed here, or even anywhere else.  The hotel is beautfully designed, the rooms are immaculately clean, the staff are extremely courteous and helpful, the included breakfast is the best that I have ever had at a hotel, and the value for money is incredible. On top of that they upgraded our room for free. This truly is the best place I think I have ever stayed at.  It is usually not too difficult to find flaws in hotel in Bali. My partner has a keen eye for dirt and an even keener nose for damp and other smells, and this is the first place we've ever stayed that is truly flawless. I take my hat off to the staff and management here for keeping the place so beautiful and clean.  I am never motivated to write review for hotels, but Amnaya Benoa is just so good that I felt compelled to. I look forward to visiting here again!…","Our stay at Radisson Blu Bali Uluwatu was pleasant. We really liked the place. It was nice and quiet, exactly like what we wanted gor our honeymoon. The room was amazing, staff were very helpful and the restaurants were really good. The only issue we had was the room temperature. I really couldn’t figure if it was a problem with the hotel air conditioning system or it’s a setup issue, but the room temperature was flat 24 all the time which was really hot and uncomfortable."
"This is one of the favourites place I've been when i was in bali. The uniqueness of the design, they have so many temples in there. And u can take a great picture!!!! And please don't forget ur sarong, its a must.","We visited the monkey forest January 2020, our experience was really good and exciting, the monkeys are well looked after and the park attendants very good with the tourists and monkeys.   The monkeys of course can be temperamental so you must be careful and not go too close…","Kuta is identical with its clean white sandy beaches ... with good sea waves .... very suitable for beginner surfers to play surfing ... from Kuta beach you also can see the sunset ... become the center of Bali tourism,  Kuta is famous throughout the world","Had an excellent time trekking up Mt Batur. Our tour guide was amazing. He was very patient, knowledgeable and such a gentleman. Constantly making sure our group was doing ok and helping us up and over obstacles. The sunrise was amazing. Nothing but extraordinary! Our tour guide…",,"The hotel location is strategic between the crowd like market, restaurant, bar, and the Legian beach. The staff were friendly and standby 24hrs. The room and amenities as a budget hotel also clean, comfortable, and complete.  Only the towel even though clean (they changed it everyday) but quite dull. Overall I will be stay here if I go to Bali next time and I will recommend this hotel to my friends.","From  all the hotels in Bali that was the newest. ( I stayed january 2020). It is on budged. The breakfast was a la carte, good choices. coffee was good too which in Bali for European people is difficult to find  nice coffee. I used thw app Grab for food delivery as i wanted to eat at my hotel pizza etc. (Indonesian food wasnt my taste).","Front line staff are hardworking and customer focused. They are there to provide extra service for you. Overall, my holiday has been memorable due to the hotel environment. I will highly recommend this hotel to my family and friends "
"Where to start....we added this temple to our itinerary because it is the mother temple but I really wish we had read reviews on this before we went. It is an absolute rip off I have never felt so uncomfortable! The entrance is supposed to be 35,000 rp each but they insisted…",It was a lush forest area with a temple complex. Loads of monkeys everywhere. Worth a visit for an hour or so.,A lot of rubbish and no sunbeds tide was a long way out and very dangerous won’t be back to Kuta shall try a different resort,"There are some fantastic views from here the panorama is well worth the visit, can get busy as it is one of the to do things in Bali we did the day visit and not the walk up although I believe you can if your energetic ",,"Have been stay here several times, and the clean, cozy and minimalistic bedroom was just perfect. The staff was really helpful, and easy access to go wherever you want, either seminyak, legian, or kuta.","Only just opened when we stayed - working hard to impress. Staff wonderful, rooms luxurious and food off the scale - best breakfast I’ve ever eaten with not a grid egg in sight! Utter bliss in the spa suite - choice of massage treatments with choice of oils and choice of teas. Probably best hotel in my experience and unbelievably cheap - though I think this will change. Beach not as lovely as Sanur. Busier than Sanur and more commercialised.","This hotel is quite new, it’s very clean.  The room is spacious and  the bed is comfortable.  The pool is large, but the beach is not directly connected to the property. You have to walk a bit to reach the beach.   Breakfast is alright, nothing special. Limited selection.   Worth every penny (paid around 1.8 mil rupiah incl bfast) not bad at all. "
"The temple is amazing and has beautiful views, however this visit was hampered by pushy touts trying to sell tours, they make up stories that you need a local guide to enter the temple, which is a lie, you can go everywhere, only in the most sacred parts of the temple are you…","I was not keen on a visit since we encountered aggressive monkeys a few years ago but it seemed a lot nicer, I think stopping people from feeding them has calmed them down.  I saw no aggression at all which was very different from last time.  It’s a beautiful walk up and down…",The surrounding place near this beach is excellent. Lots of spots & joint to freak around. Perfect for tourist to explore and experience something different & exciting.Which makes it worthwhile to visit Bali.,We went to go and see mt batur on a day trip. It’s a decent drive (approx 2 hours from seminyak). It’s a great view and definitely worth the trip if you make a day of it.  We also stopped into Ubud which made it a good day. ,,"Clean, quiet, and the staff was very nice.  The climber vines outside our room window made for a cool, calming stay.  A five-minute walk to Legian Beach.  The breakfast looked nice (we did not sign up for it) and there was no swimming pool.","This was the best hotel we stayed at in Bali, based on quality that exceeded the price, warm homelike atmosphere and facilities to satisfy any healing needs.  Everything is so well thought: every table at the cozy reading corner, the peaceful restaurant where you can enjoy the breeze & study in the afternoon, the beautiful yoga nest where you can stretch & unwind at sunset, BEAUTIFUL tanning place at the pool and perfectly blended colours & Balinese architecture that caress your eye, and the true, genuine hospitality! Oh and comfortable bedding. The intuitive service where you get the lights on right when you can't read anymore because of the dawn, without asking anyone. We haven't met the person who created this property, but we could feel he/she is an amazing person, the feeling you get by living there is incredible. Heartfelt Thank you to the entire team of Amnaya both who we met and who are on the backstage, a few to name: Ceri, Yulius, Ilun, Gisin, Arik, Eka, Adi<U+2764><U+FE0F>, Yande, Gilang, Wijaya, Sri, Yudi, Rigan, Agus, all the amazing public area attendants who sweep the flowers in the garden and of-course the White Pus. <U+0001F90D>    We hope to come back to that amazing heartwarming place! THANK YOU. Maria…","We had 5 beautiful and relaxing days at the Radisson Blu and words cannot describe. Brilliant, staff were awsome and so friendly (always remembered our names). Room was unbelievable, views of the pool and sea views were awsome. To the Manager Diego (a fantastic man) what an awsome job you are doing. Meals are brilliant, and if you went hungry it was your own fault. We will be back and by word of mouth, many more people as well."
No wonder it's called mother of all Temple in Bali. Such a huge temple but was disappointed with the guide who had no information on anything I asked!! And inside the temple I felt there is a lack of proper maintenance as there are huge cobwebs everywhere. I was little…,We absolutely loved our visit to the sanctuary and were very impressed by the standard of it. The monkeys look content and well.cared for and there are many guards as well should.you feel.threatened.  A great visit,Kuta Beach is a long stretch of sand from Kuta to Seminak and beyond. The town end is the preference for swimming. Further along the water is quite rough and used mostly by surfers. The beach is a favourite spot to watch the sunset- from 5pm on. The main drawback is the many…,"It goes without saying that the trip was worth it—the view, the climb, the company. The pictures capture the scenery but fail to gain even a glimpse of how my heart swells when I see the sun rise over the mountains. That said, I am very disappointed in the guides who are…",,"Upon my evening arrival sat Grandmas, I was immediately impressed by the vernonia climber vines that suspend from above the pergola. What a great idea for a façade, I thought, as I realized the hotel location was right in the center of Legian. This leafy look, with vernonia that drape hotel windows, is an immediate welcome.  But the real masterpiece of this surreal place is the amazingly lush courtyard past the lobby area, which boasts a mini garden as centerpiece.  My room, one of 111 nicely decorated double, twin and triple rooms spread out on four levels, was small and cozy, with great wall decorations and designers elongated windows. Rooms are the perfect size and have all the necessary amenities like work desk, safe deposit box, flat screen TV with satellite channels, tea…","Very nice hotel, on good location, nice breakfast. Checkin was a bit problem, but the service after that was excellent. Most of the staff are very polite and always try to make the best. Breakfast was included our roomrate, its really big and fresh.  Will come back again ! ",First of all can I say that the post written by Corinne below is  a complete fallacy and should be totally ignored.  Clearly some people have nothing better to do than to post derogatory comments.  This hotel is awesome and the staff are as good as you will ever see in any five-star resort in the world.  Breakfasts are amazing the restaurants are fantastic the pool area is beautiful and relaxed and the rooms are well appointed clean and cool.  This is a great place to stay in Bali but certainly I would recommend that you do hire a motorbike to get around as the resort is a little moved from the beach but certainly no more than a couple of minutes on a bike.  I love the Radisson Blu
