Borobudur,Prambanan,Sultan,Museum,Malioboro,Artotel,Grand,Yogyakarta
This heritage reflects both high art and culture of human. Placed in the mid of lake when this temple built in the first time then burried under ground by Merapi Volcanic material eruption. This temple was found in the civilization era of Netherland in Indonesia. ,"Temples are really nice and worth a visit but comparing to other sites (Borobudur Temple) you feel like you are missing something of a spiritual experience. Furthermore we had a long day trip from our hotel next to Borobudur Temple, visiting Sultan Palace in Yoyakarta in the?","I think that will be good if I visited here at weekday. Every weekend was so hard here, there is no place to take a good photo. Every spot is full of tourists. Most of them are foreign tourists. I reccomend to come here at weekday. The view was so beautiful, i love the water?",,"From cheap eats to hostels... everything is in here. It is close to the train station and the area has 2-3 bus stops where you can find a ride (Transjogja bus) to get to Prambanan Temple for only 3,500 IDR. ","First thing when I arrived here is a ton of cool vibe! Every single spot here is instagramable. I cannot stop open my camera to capture whatever in the hotel.   I came in the heavy rain, I got a very bad mood. The process check in was going smooth helped by a short-blonde hair reception staff (so sorry mbak, I forgot to ask your name!! Next time I will say hi and ask your name). My mood came back after I reach the 3 floor. Good vibe and view. The 306 room has really good view to the Jogja city and pool! I cannot stop took photos of the room. The shower was good, the stability of hot water was great. Oia! Do not forget their slipper. Unfortunately it was only one. Huft!   I went to ROCA, the bar, at night. It is a 24 hours bar and resto. They have buy one get one promo for local?",,"We stayed 3 nights in this hotel. Everything was perfect for us. The hotel is new and modern. It is located next to Hartono Mall and has spacious parking space. The swimming pool is amazing for kids and adults. The breakfast is delicious with various of food and beverages.  The staff hotel are very friendly, informative and care to the guests. Our attendant room, Mr Anwar, was very thoughtful and artistic.  He made 2 elephants from the towel and these made my daughter happy.  We absolutely return to this hotel when in town and happily recommend this hotel to other."
I was there to watch sunrise and amazed how magnificent it was! There were thousands statues and chedis in the area. I wish I had more time to spend there.,"We are a family of 4 visiting Yogyakarta for the first time, from the US. We just visited the temple now and it was amazing. Better to wear walking shoes because of the dust and the long walks. You can literally spend the whole day here to make the most out of it. Ramayana?",Interesting place and is in good state of conservation. The palace itself is quite small and the visit very quick. Despite the heat I enjoyed walking at the narrow streets linking the water palace and the old mosque with  the Sultan?s under passages. Lots of beautiful graffiti?,,"Busy street, too crowded for me & my partner. Most of the hawkers are selling similar thing & stuff. However, u can get everything u need in this area, because it is consider a city centre. Me & my partner would not stay in this area again if we come back to jogya","Well, the first feeling when you arrive is ""this is cool!"" Because of some artworks on this hotel. The room was clean, comfortable, and the internet was fast. But, for breakfast, hmmm one little improvement for menu and also service i think would be great!",,"Very convenient location next to Hartono mall. New and clean hotel room, great swimming pool. Good spread of food for breakfast. Been to a few Marriott hotel around Indonesia, i must say Yogyakarta have the best service. Staff always so warm, friendly and smiley. "
It will be more convenient if you stay at the Manhonara Hotel across from the Borobudur area and get yourself a sunset and sunrise ticket package from the hotel. You will save the entrance fee. The place was astonishing. A must.?,"Was bit surprised that everyone is allowed to go inside the Karuvarai with shoes. Most of the main statues inside the temple are damaged and even that is not repaired.  For Some Indians, this may not be exciting as there are such big temple in every village.",This is a really beautiful historic place to visit. Quite relaxed with some shops and cafes around. Good to visit. ,,"Oxxen Bar off Malioboro Rd, Great fun place - live tunes, down a side alley,Cold beer, share tables,  Malioboro Rd has cool art, street food, graffiti ","I heard and curious about artotel. Observe from many sources before web,magazine and others seems like most of it look great. Art in each space of you make different!! nothing compares to you. quality of service, smiling face from all staffs even though casual uniform but still warm and feel like back home at JOGJA. AWSOME!!",,The hotel is 15mins from the airport and next to the Hartono Mall. I was there for a day/ night after Borobudur for some shopping and easy access to airport. I was happy with my decision. Hotel is 6 months old and has a nice big swimming pool. Malioboro is 30 mins away by taxi and I accomplished what I set to do. 
"If you have extra money, I suggest you to take a Borobudur Sunrise package. The view will never dissapoint you!  Since I am a big fans of sunset so I choose Borobudur Sunset package. Both are Rp 350K for local. The package inc. breakfast/ dinner at Manohara Restaurant, a?",4 great temples on lovely grounds with lots of trees. The distance is not far so you should walk to see them. Prambanan is the biggest and most interesting one(s). Totally worth seeing the other ones as well as we were alone there which was a treat.,Boring and full of local  tour guides  trying to give you tours for money even if you do not want one. In and out in 5 minutes literally nothing to see.   Be my guest...,,"It is very hot, chaotic,  but you have not seen Yogyakarta if you were not there. You will find some nice things for sure, to a good price if you have the patience to bid a long time. If you do not want to bid, you wait for somebody , buying the article you also want, let them do?","ARTOTEL provides me  HOME  in Jogja as a place to stay!  Easy Check In - Wonderful Quarters - Good Sleep - Awesome Atmosphere - Fast Check Out  ARTOTEL will be on top of my list, definitely will come back soon if I visit Jogja again. ",,"Room very clean and big, breakfast superb, feel welcomed by beautiful smile of front desk staff. Was a great experience stay with my friends from Japan and we enjoy our stay so much. Will definitely my second home when visit Jogja again. can not wait for second visit.. Anyway, i love your pool.."
"Borobudur temple is the most beautiful temple in Central Java. When visiting, make sure you allow about 3 hours to look around and explore.   The elephants were also amazing to see and ride as you exit the park. ","Must see, done very well. Very easy to buy the tickets online. Fix a vehicle to drop you and pick you up.Carry mosquito repellent to protect uncovered parts of the body - do not wear shorts! Do not plan dinner there, eat before the show or after it.",Do not go at a busy time or else you will end up walking at 0.00001 mph having to stop every 2 seconds either to take a selfie with a teenager or while they take a photo blocking the path.   On the plus side it is super cheap. I think i paid 10k entry and the becak there was <20. ,,the most popular shopping place in jogja. being in the city center and close to cheap lodging or hotel on sosrowidjayan road or dagen road. dont forget to bid even if half of the price offered,"Stayed at this hotel over the New Year holiday. The location was good as there is a lot of restaurant and shopping place nearby and still acceptable if you wish to go to Malioboro, Keraton and whatsoever.  the Staff very friendly and most of them young people with good enthusiasm.  I thought this new hotel design for young people and passionate. The ambiance was perfect with artistic concept. The size of the swimming pool little bit small but still fine for a swim. One thing they need to improve is on breakfast box for the customer who left the hotel early morning. it was too simple for the 4-star hotel. Overall we are happy and enjoy our stay at this hotel.",,"Having something to do in last minute at Yogyakarta and end up late, I found myself in Marriott. Where I cannot find anything below my expectations. Stay in fabolus room and outstanding service from front office named yudha..I really appreciate what they served for me. Big thumbs for Yogyakarta Marriot team<U+0001F60E><U+0001F60E>"
One of the most amazing historical architectures I have ever seen. The technology behind the building method is amazing. The view from the top combined with the carvings on the walls of the temple complex is just breathtaking. The climb can be steep and tiring but was worth the?,"The temple is very suggesstive. we saw it in august 2018 and there were not many people so it was a fantastic trip. i suggest to see it with a guide because there are a lot of history and religion to learn. if I had to return to Indonesia, I would definitely go back to visit?",This is a separate ticket from the palace. The underground mosque is included in this ticket. Won?t be bombarded by guides.,,"Close to the Kraton, another thing you need to avoid, unless you are a real tourist, shopping for bargains you will never use.   Malioboro Road and market are the real tourist trap. Spend you time somewhere nice rather than here. Only good things around Yogja are Borobudur,?","Overall OK, the service is very nice, the people also very nice and very helpful the breakfast variant is awesome, unfortunately  the food is cold, the room is quite nice , hot water is all the time the internet also awesome ",,"On 26/5 upon my check in with staff Hendik, a lady walk towards counter and was extremely rude towards Hendik throwing a card rudely towards his direction and did not even bother Hendik was serving me. She should learn to be more patient even anything happen as I am also the hotel guest. She should respect others in order to earn respect irregardless she is right or wrong. I really look down on people who behave this way. Being a hotel guest, I felt this hotel standard is awesome, even the kitchen, Swimming pool and front desk are all awesome. I don?t understand what standard the rude lady expect when she herself don?t have standard. Hope the management don?t blame Hendik, as he keep apologise to her and solved her problem even Hendik is half way through my check in. What else?"
This is a very cool temple. We went for the sunset tour and it was stunning. The temple itself is really well intact and I would recommend going with a tour guide as we would not have understood the story of the carvings on the walls if not for him. The view from the top of the?,for second after 2 years we come back to this temple..nice place to recharge our mood..some renovation after earthquak still on progress ,Only problem in our whole stay was getting double charged at the ticket office she thought we were with the big group just after camera tickets but she gave us change for a 10 not a 50 and both ladies insisted not and then said as we?d only paid 6 it was another 30!! even the?,,You can really find everything in here. The street itself is bursting with vendors and you can hackle yourself great beachwear and not too serious jewellery and bags and so on. There are also some hidden gems amongst the real shops. Beautiful and original designs instead the?,"It was very pleasant stay . The room was nice and I loved the mattress in the room, it was so comfy. Breakfast was tasty, WiFI was great and wonderful staffs. The best hotel in Jogjakarta I have been to and I will be back for sure!   ",,"This the first time staying at brand new hotel in Yogyakarta, first quite difficult to find the hotel location with traffic outside the hotel but after arrived at the lobby..all those bad things were gone turn to great things, all the staff were friendly and helpfull from outside the entrance, receptionist and housekeeping staff. View times check in at many 5stars hotel, marriott yogyakarta one of the best. My regards to well-shaved-bald-head guy at front desk, forgot the name but his smile were very sincere and delightful. Thank you marriott yogyakarta for the good memories. definitely will come here again."
"We visited the Borobudur Temple on a day trip from a cruise ship, which docked in Semerang. It was about a two and a half hour drive from the cruise port to the temple, and that was with assistance from a police escort, which helped us through traffic jams with their sirens?","We visited the temple at noon. Let is say that we checked in to the site ""late"", because they close the gate at 17.30. We arrived at around 2.00 p.m when sun was shining at its best.. So hot.. Hha The ticket price is different for local tourist and foreigner. The local would only?",This is a lovely site to visit in Yogya. A mix of architectural styles with lovely pools. Pick up a guide at the entrance and also ask to see the underground mosque round the corner... But watch out of closing times.,,"Famous street in Yogyakarta, about 1 km street with big pedestrian walk. Along the pedestrian walk, there has many stall of local souvenir, handicrafts and local food. This place will be crowded at weekend. We stay at hotel near malioboro street, every morning we walk through?","the hotel is very pretty. with the rattan look combine with beautiful artwork. the staff is very helpful and friendly. hope they improve the breakfast coffee very soon! :)  the location also very strategic, easy to find and easy to go everywhere",,"Me and my girlfriend was so happy stay here.. Nice hotel, nice location.. great breakfast also, not forget the shoping mall, had a nice time stay in there.. Thanks all the staff, we will be back soon.."
"I went for the sunrise tour. It was of course spectacular. But by doing so I missed some important instructions on how pilgrims are supposed to experience it, and I did not realize it until I had returned to Jakarta. I did however descent walking around each level. Every level is?",We loved our visit here. The temples are beautiful. The carving and scale of the construction really impressed us. Make sure you make the effort to explore all of the temples within the grounds and not just the ones closest to the entrance. The further away temples are much?,"We visit the castle in the afternoon, we shared the space just with a couple of locals. The castle is nice and the pools too, worth a visit. ",,"Every time we visit Jogja, I make sure that we have a couple of days and nights to visit Jalan Malioboro. The street is a wonder! Vibrant, colourful and overflowing with great bargains. Every time we vivit we buy Christmas gifts for all of the children in our Pencak Silat club?","In love at the first sight, to that mini playground ( happily slide ). The room was awesome, i made a reservation in studio 41, a big soft bed to celebrate new year party with my lovely one, soon i?ll be back for sure!",,"Got a chance to stay in this hotel during my holiday with my friend. Everything is perfect! Nice pool, spacious room, and helpful staff. I will recommend this hotel to my friend. Great job and keep it up!"
"We wanted to scrimp on the sunset tour. Thinking if we were there before the gates open, we could run all the way up to catch a good sunrise view. We did not manage to go up in time, but the view was still magnificent. If you are a student, remember to bring along your student?",Di not like it at all.The entry free was 25$ and is totally not worth it.As complementary we got a water bottle.The temple is not well maintained.,"So after reading some not so good reviews about guides, my husband and I went to Taman Sari adamant on exploring it ourselves. After all, we had a pamphlet showing the landmarks and GPS right?  Quite wrong we were. Once you are in the compounds it is a labyrinth that snakes around?",,"About a half-hour walk from one end to the other, this street really is ""the"" place in the city for ""souvenir shopping"" (from these make-shift vendors along the sidewalk on both sides of the street) and to get that ""feeling of festiveness"" (which you will get not just by walking?",Love this hotel so much ... that gold slide! love the lobby area .. the staff are amazibngly helpful .. room size is okay .. love all that design ! a must try to enjoy art at friendly cost :) Definitely will stay here again !,,"big thanks to the front office staff particularly mr. yudha for his effort making my staycation memorable, they did a great job making wow experience to me, everything was perfecto, i will definitely return soon.."
"If you plan to visit this temple I advise to stay around the area, A lot of option and hotel class for accomodation from $ 8 till the class accomodation. watching the sunrise from the top of the temple that most all the tourist want to have. on the 9th floor at east side tjere?","The time of day to visit the temples is at sunset (and probably also at sunrise) when there is little crowd, the temples take the colour of the sky, and mount Merapi is free of clouds in the background","Though the entry fee is like IDR 5000 or so, there is nothing much to see. No need to employ the services of a guide. Our so called guide was trying to compel us to buy stuff which we politely refused. He wanted to end the tour there and we had to coerce him to show us the?",,"still under renovation, wish it will become a great place..the seller is moved to near Mirota Batik..",I am greatly happy with the hotel as it totally beyond my expectation! :)) the bed is super comfy as i want to stay in the room instead going out :) the staff amazingly helpful and proffesional! The breakfast can?t even ask more as it is truely indonesian cuisine which i look for it. Great location as it really close to most of the attraction point. Will come back for this hotel definately! :),,"Nice room, clean, great staff always smile and helpfull. Located near by the mall. Need to keep up the good work. Definitely  will come back for next visit. One of many best hotel ay Yogyakarta. Shout out for everyone there."
This is a must see place in yogyakarta and if you?re already in the island of java.... we took the 7hr train-ride to yogyakarta from jakarta in order to see the countryside scenery of java instead of taking a direct flight. Borobudur is awesome during sunrise. A pricy tourist?,Candi prambanan is not the bigger but still a good place to go and take some pictures nice place for beautiful moment so you must come here,"This was the only place we had a bad experience in Jogja. Since it was very close to our hotel, we did not prebook a guide / tour and just arrived here thinking to hire an English speaking guide at the counter. The guide was horrible. He raced through the most visible parts of?",,Cool place. Always crowded with locals. Lot of hawkers if you wanna try some new.  Lot of people never seen european is before. Kind of funny,One of the best Boutique Hotel in Yogyakarta with such beautiful space and enough facilities to make you feel indulged. Corner to corner is pretty you can?t stand not to take pictures in front of their signature Golden Slider.,,"Good service! Good lobby, nice pool  Good food, nice smile from the staff And also thank you for Mr. Yudha (front office) to explain me about jogja And some places to buy some very famous batik clothes there :)"
You?ve seen it on postcards. You?ve watched it on screen. Your friends posted it on social media. BUT nothing beats and can really capture the magnificence of Borobudur.   You just have to be there. To walk up to it. To feel the size of this ancient structure. To walk up the?,The most beautiful and biggest hindu temple in indonesia.. and it is become one of the most famous tourism object in indonesia...,"The building is so unique with a very good price for entering. I love the village the most, so authentic and charming, villagers there are also so friendly with artsy touch. ",,"Visited Malioboro street in the late afternoon of a weekday and it was very crowded. Everything, from food to materia, was quite overpriced. Everyone selling just the exact same stuff, so no unique discoveries really made here. Lots of hassle and a really cheap feeling to the?","GREAT place to stay, great ambience, great environment, everything was GREAT ! Thank you for giving me a new experience stay. Surely will come back for sure and definitely will recomend to the others ! Good luck and keep flying High !",,"One of the best Marriott in Indonesia! Lately I need to go back forth Jakarta-Yogyakarta and Marriott always the best choice to stay.  Comfy bed, friendly staff, spacious and very good lighting room (since I eork at night in my room so need good lighting so I wont get sleepy easily lol). But no worries, the bed light is also good so no need to worry fot a too bright/too dark room at night.  GREAT 24hr GYM and pool! For me, their gym is the highlight, esp its 24hr. Sadly, the pool is only open until 6pm. The food is here is good! Breakfast complete and various things to choose, food to order in room also good!  Though Marriott need to work on their membership, book through company/travel agent not considered as points, loyalty should not omly count as book through their own web. ?"
We went for the sunrise tour and engaged the services of a tour guide which turned out to be a smart choice.  He was knowledgeable and was also a great photographer.  The history is rich and the place itself is a magnificent showpiece of human resilience.  A must visit place.,"this is a huge temple complex where you find a temple dedicated to brahma, one of the three temples in the world dedicated to brahma. around the three main temples dedicated to brahma, vishnu and shiva, are a huge number of small temples, mostly in ruins.","Unfortunately, I wasn?t impressed with the facility. It needs a facelift i.e., it need to be painted and better maintained. The most interested place in the facility is the underground mosque. The architecture is unique.",,"The road is undergoing renovation to became a pedestrian only, so very dust and heavy traffic.  No particular interest. We did not want to shop so just stoped for lunch.","I love sleep in here with my family, super satisfied. The room and the bathroom are clean. The people are nice and the breakfast are good. I was happy because that was my last day vacation and i really enjoy my vacay. I?ll be back as soon as possible",,"We stayed at Marriott Yogyakarta to celebrate my husband is birthday. My husband managed to do mobile check in and they even send notification that the room is ready, what a great start! We got the room which has the view of the city. The room has this modern design and the bathroom is clean and spacious. But, we were surprised that we have only single person ammenities for the bathroom (tootbrush for example), so we need to call them for the extra. We had dinner at Tamansari grill, the food is great and we had amazing time there. Thank you, Marriott Yogyakarta, we definitely will stay again for our staycation."
This is a must visit for anyone in Indonesia. It is a very large Buddhist temple and very eye catching. Takes about 2 hrs to see,"This temple is often depicted as a poor alternative to Borobudur. This could not be further from the truth. The setting of Prambaman is simply stunning and the temples itself are spectacular, especially at sunset. This coupled with superb facilities for all ages makes it a great?","It was very hot the day we came here. The guides there are ""pay what you feel"" but we were unlucky and got one that made us miss half the site making us believe we would seen all of it, because she wanted to sell us stuff in the art village.   For the half wee did see though, was?",,"Shopping (batik, vintage accessories, etc), culinary, and live music. There are many activities you can do at Jalan Malioboro.","It was the right choice to stay at Artotel. The hotel lobby was very welcoming and artsy. Food was great, the variety of breakfast is limited but the taste was great. I stayed for 4 nights with my family, and we have a very good time... We certainly would love to comeback someday.",,"booked here for 3 nights for our long weekend getaway from Jakarta. we stayed in Deluxe room, a generous 42m2 with king bed and a long couch right beside the window. the bathroom is also considerably spacious for a non-suite room, albeit without a bath tub. since we brought two toddlers with us and one of them is a 2 year old, we asked for a baby cot through the mobile app. the cot was already setup inside the room once we got into the room.  the swimming pool is awesome. we really love the way they separate the pool. from above it looked like there is only one giant swimming pool but once you get close to it, there are shallow sections for children.  the Yogyakarta Kitchen offers european, chinese, Indonesian, and even local food from Yogyakarta such as Gudeg. breakfast was?"
"What a beautiful and extraordinary place to visit, especially seeing the Buddha sculptures through the bells. It was amazingly unique to see and it is well worth a visit. It is best to go there first thing in the morning to see the sunrise or about an hour before closing time as?","The biggest hindu temple in the world open it is four entrances for everyone that wants to enjoy it is beauty. We suggest around 2 hours in the temple. When we were there it was full, as it was indonesian independece day, and a saturday. There were many local tourists. It is?",Beautiful place rich with it is own history. Weather can be hot so please be prepared with sunglasses/hat. ,,Lots of street vendors selling similar stuff. Overcrowded during weekend and a little bit overrated.,"Design very young style and fresh . For new hotel is a good, unique and fun experience.  Lobby have a fun attraction and very color full art work, at restaurant design color full wall art look fresh, at room area grouping lighting not comfortable for relax and in bathroom area air circulation not working well , for the noise level in bedroom area is less reduce sound. But over all is very nice hotel at Jogja . Thank you ARTOTEL Jogja  ",,"As Marriot fan we decide to have fam reunion in this new Marriot, expecting to have the same comfort,good food as we always had.The room is very superb.Nice airy, spacious, modern. All amenities and facilities as Marriot signature.Unfortunately the extravaganza pool the water was murky.only after we made inquiries the next time u can see your toes,becomes more clear. Still problem with the system.Secondly our big dissapointment is the breakfast.Yes there are so many varieties but not supported by the taste and display.Example kailan sauted with big half raw carrot.chinese or indonesian?piles of ready made omelet that is not so appetizing anymore.We are very happy with the good service from the staff.who..listen to our opinion.Hope it will go to the right person because we love?"
"Came to Yogya to visit this and Prambanan temples, having been to Angkor Wat twice and wanting to compare.  A well preserved site, certainly worth a visit, though I confess Angkor Wat is THE best!",That?s another fantastic site in Indonesia. Here I suggest to arrive early in the morning or in the late afternoon... it is crowded of tourist !,"Its big and you can get lost. Beware once you leave the place with the waterbaths you can not return to it. So make sure you have seen enough.  The place is not so special. As it is cheap to enter and if you you have the time you can go. But if you are stressed for time, choose?",,"Ok , is nice to go and see the big amount of people walking up and down the road, but that?s it. You can have a glimpse of local people having holiday. We were asked to take pictures lots of times , it didn?t bother us. You have shops , and warungs ( restaurants) and street?","It is excellent choice if you want to stay near kaliurang, one of famous street at Yogyakarta. It has enough parking space besides the hotel. Breakfast and coffee is not disappointing. Hope rooftop will be developed soon",,"My first time here, as I was surprised that finally I can see a Marriot hotel in Jogja. The first impression was that the staffs here were amazing! Very helpful and show high attention to guests.  The location is very good! Right next to a fantastic shopping mal. And only 20 mins away from the airport. The room was fantastic! The welcoming cakes and drinks in the room was a sweet touch. I could not find the safety box though (it is always help to have one in the room).  The breakfast was very good. Good coffee, good food, great service. Very accommodating staffs! I took time to use the gym, which has quite good mix of facilities. Very clean and nice! Overall, very good experience!"
"Borobudur is beautiful! No doubt. The problem is that there are waaay too many people there, so you cannot ever take a picture of it without having at least one tourist in it. All guides are mentioning Sunrise Tour. Forget about it. It is overcrowded too. We bought the Sunset?","We visited Prambanan temple in the evening and the whole atmosphere around the temple was so serene n peaceful. Even with crowds, one can relate to the place n enjoy the stunning views. Lot of photo opportunities. Can climb into many of the temples up until the altar to find?",This place is magical and my favourite in the city. A mirage in hot Yogya!! Little pavillions around fresh ponds. Avoid busy hours. It deserves tranquil contemplation. ,,"Beautiful place,  friendly people, many souvenir we can get for example clothe, bag, watch. You can take Becak for it. ","Art, modern, clean, complex and as you want hotel. Good location, near mini market, fast food restaurant if you bring the kids along.  Near the small street vendor and the famous Gelato Tempo.  Several - comments I have addressed to the hotel directly. But, they are improving I believe since they are grand opening was on last 7 Dec 2017. ",,"Visiting Jogja annually and honestly it was always hard to select the hotels especially if you are looking for a decent 5 stars hotel in the city. Mostly the hotels are old enough and just had simple refurbishments or new hotels that good with the building but not with the service. What I experienced with Yogyakarta Marriott Hotel changed that condition. Great physical hotel building, with spacious lobby, proper check-in area, sufficient elevators (they even have two elevator corridors, one to the ballroom area but we could still use it especially when to go to the next shopping mall), big outdoor swimming pools, fine fitness center, tremendous buffet menu on the breakfast, awesome guest room and the staff services was excellent! Sadly their F&B outlet next by the pool was not?"
"I went for sunrise in April 2019 - perfect timing. There was about 150-200 people and it was a stunning morning.  I was told during the summer peak, there can be up to 1000 people and pictures are near impossible.  I also went in the late afternoon at 4p in the light rain.?",This is a really majestic place that makes you feel as if you were stopped in time. I strongly suggest to take a guide as the sculptures and carvings tell a beautiful story. Each of the big temples is dedicated to a different god and the smaller one to the animals they rode. It?,"Interesting place, but exceptionally crowded pretty much all the time.. staff are very friendly willing to help .. shops and art shops around the park are excellent and definitely recommend the walk through the village ",,The area is only 100 meter from where we stay to it is nice. Here you have eveything you want or need but it all looks similar,"This hotel close to many restorant and cafe, located in kaliurang street and one of the most crowded area in yogyakarta. This hotel is stil new, the service is great and the room is nice, with many street art. ",,"I have been three times staying at this htl Given how excited and jovial we?re likely to be,  The cleanliness and professional services made me come back again   Surprises make us feel like we?ve gained extra value from our short trip, a bonus we can feel happy about...the huge room as well as complete breakfast variety is really fair, value for money   Of course our hotel experience will need to match our enthusiasm and find ways to delight Marriott is recommended for many occasions  Thanks"
The huge price difference between what foreigners and domestic tourists pay is not fair. I don?t mind paying a bit more but 350000 rupees compared to 30000 rupees that?s just cynically ripping tourists off. It is a beautiful structure but it does get super busy and it?s a bit?,"Amazing ancient hindu temple, closed to yogyakarta, the ticket is quite expensive, around 18 euros per person but totally worthy. One of the higlights in the area. It is similar to angkor wat but smaller. To reach the temple we hired a driver, who also took us to other temples?",Try to avoid weekends when visit this castle.. and take a tour guide.. you might get lost when you go to another building (the mosque).. need a little bit of attention to preserved this place,,"Very lovely street with lots of people because i stayed here during  hari liburan  which is people from all over Central Java coming to this city at the time and make the street so lively. There is so much people selling lots of stuff, mainly handicrafts kind of thing and i am?",I should give the hotel rating 5 to the hotel  but unfortunately there is a not good incident with one security guy and lack of variety and taste of the breakfast that made me not to give rating 5.If you could improve both and parking space then you are a rating 5 star hotel,,"It is really nice hotel with nice staff with nice everything waaaw . The only thing is that no smoking  atall<U+0001F92A>,only by the pool. It is gorgoeous hotel ,just get the pool view and try the 3rd floor waaw"
"Staggering,  awe inspiring, and a wow.  Come early. It doesn?t need to be at sunrise but get there when the gates open at 6 am. Otherwise you will not only be battling the tour groups but also the intense heat. Your going to be doing some climbing and the heat just radiates off?","Prambanan is absolutely beautiful, if slightly overcrowded with tourists (no surprise). We hired a guide who was very knowledgeable and explained all the intricacies of the temples, the history and symbolism. Well worth paying for. He also made sure we got the best pictures?",We decided to visit the site because it?s nearby our hotel. It only takes 10min to get there. The admission ticket is quite cheap but you could get a good view of heritage places. ,,This is a very busy stretch of roads during anytime of the day and night. A very nice money changer is located at the Tugu Monument end. Pls carry your passport to exchange money. Banks will NOT allow money exchange unless you have an account with them.  There is a railway?,"Amazing value for money and we had super excellent 3 nights stay at Artotel Yogyakarta. Both hotel, room, staff, and Location is so perfect. We are enjoy the room so much and my boys gave excellent perfect 9 to 10 (out of scale 10) to Artotel. The unique arts is added points too. Well done to hotel management for make us so very happy with our stay. ",,"First impression is that the room is so huge! Love it so much. The bathroom has unique design, no bathtub in my room  (run out of room and only get deluxe twin) but  no problem. The twin beds are actually individually huge. My wife and I can sleep together in one of the bed with comfort. One room actually can afford like 4-5 people. Interior finishing quality is good, service is excellent. Other good thing is that they have plenty variation on breakfast menu. From Nasi goreng to ice cream. More options as well on the fruit and juice."
We took a motorbike (from ViaVia tours) from Yogyakarta through villages to reach Borobudur (well worth the numb bum to properly experience as many aspects of Java as possible).  We found Borobudur temple and the surrounding countryside to be truly breathtaking. We visited later?,We had een free guide (2 students who wanted to practise their English). We went there at the end of the day to we could visit the Ballet after that. The ballet takes about 2 hours. You will see the Prambanan Temples on the background. TIP take VIP seats.,Nice place for a stroll after visiting the nearby sultan palace. Main attraction of this 200 year old park is the pool and sauna area where the royal family use to frolick in two pools whilst the sultan enjoyed with his favorite concubine in another pool segregated by a wall.?,,Full of shops mainly selling batik and 1 tired looking old mall. No food options really unless you are looking for local and street food. Would suggest visiting it for local flavour and also if you want to buy souvenirs. Half the road is dug up so walking is quite treacherous.?,"This hotel provides us with a really comfy and cozy feeling from the atmosphere and service.. the staffs here are really friendly and they are about the same age as us so we could communicate really well.. we like how they reallt cared about us and how they remebered us by name.. and special thx to the fnm manager for accompanying my bebeb so she wasnt bored for the day, and by how he took care of the restaurant area so that the resto felt really comfy and well maintained.. another special thx to mas ferdinand (our room attendant) who made the cute swans by their towels, we really appreciated his effort.. shoutout to mbak igna and mas jati for always serving us with their nice attitude.. overall, our stay was really great and will deffinately come here again in the future if we?",,"Super nice hotel next to a shopping mall. The pool is huge and we loved hanging out there. Breakfast is superb, and so was all the a la cart food we ordered. The room is stylish. Overall, it is a great place in Jogja!"
The Borobudur temple is a place not to be missed if you are in Yogyakarta. My husband and I travelled with friends in a MPV from our hotel at 8am. The journey took about 1hr 30 mins from Ibis Malioboro. Our driver bought the tickets the night before and we did not have to queue.?,PRAMBANAN TEMPLE  This amazing Hindu is temple is located in Prambanan Klaten Central Java. It is in the eastern border part of Yogyakarta and it is mostly well-known as Yogyakarta tourism destination.  Prambanan temple is One of Indonesia is cultural heritage that is still?,"This place is part of King Palace. Before this place is princess pool, the palce for king looking the wife.   If you need more info about the Yogyakarta city & sorrounding, you can contact CHACHA Tours & Travel, the best travel agency in yogyakarta.",,"To busy with locals, full of small shops on the midlemof the way, people.pushing.you , and horses everywhere smell disgusting because the hot last days toguether with the animals defrctions make the trip unforgettable.","Good hotel, but wifi connection up and down.  Good decoration and artistic.  Pool is a bit small. Food is OK, however the coffee machine needs to be improvef. It was very long queue in breakfast. The bed/mattress is a bid too hard.",,"We spend 3 nights here...  This hotel is brand new... So it still clean and really comfortable..   They have very friendly staff,  their room is big enough.. Very clean and comfortable.. Nice and cozy... They have really big sofa in the room.. Love it so much.. For lying down while viewing the city..   Also i really love the food... It is taste so delicious..  Love their gudeg, noodle in tom yum soup..  I think i love all their food...  For breakfast they serve a lot of food.. So you can choose want you want,  asian, Indonesian,  western,  healthy food...   They located behind hartono mall,  so if need something you can walk there..   They have big swimming pool with great view.. You children will love it..   But only one thing that i do not like.. Their water faucet smells?"
